F3E07,Number of Records,Unitid,private
10768577,1,122834,1
48940343,1,122843,1
3693888,1,122852,1
30029000,1,122931,0
180552,1,123095,0
4112000,1,123165,0
18557703,1,123208,1
47341,1,123280,0
420000,1,123350,1
1400000,1,123396,1
158740,1,123448,0
921416,1,123457,0
6541746,1,123554,0
3848675,1,123581,1
94415,1,123633,0
4593852,1,123642,1
2183677,1,123651,0
11542000,1,123679,1
678737,1,123855,0
27646,1,123916,0
1701703,1,123943,0
852060,1,123952,0
161285000,1,123961,0
3007576,1,123970,0
703670,1,124283,0
1965273,1,124292,0
8512733,1,124344,1
80212,1,124487,0
86000000,1,124681,1
10635000,1,124706,1
10225000,1,124937,1
84370,1,125037,0
1163631,1,125082,1
452133000,1,125231,1
20290,1,125310,1
108218656,1,125532,1
166097,1,125718,0
5789800,1,125727,0
5337913,1,125763,0
2746108,1,125897,0
162173,1,126012,0
11930279,1,126030,1
2700035,1,126049,0
241044,1,126076,0
862544,1,126164,1
7399563,1,126359,1
5258324,1,126401,1
14054523,1,126605,1
1420755,1,126669,0
6855810,1,126678,0
11578000,1,126687,1
32071011,1,126702,1
1679853,1,126784,1
28022659,1,126827,1
722000,1,126854,1
0,1,126872,0
1579111,1,126924,1
18586932,1,126951,1
1166885,1,126979,0
9180434,1,127024,1
12394988,1,127060,0
374519,1,127219,1
1692143,1,127228,1
526160,1,127273,0
2559473,1,127316,1
602894,1,127653,0
2518789,1,127680,1
4146522,1,127699,1
357601,1,127714,0
5508835,1,127787,1
5404116,1,127839,1
5608337,1,127918,0
17795524,1,127945,1
0,1,127954,0
8393205,1,128179,1
9851302,1,128188,1
1228274,1,128337,1
61308,1,128425,0
1017903,1,128498,0
1342681,1,128540,1
13830,1,128586,0
35760447,1,128674,1
20922205,1,128683,1
3882000,1,128744,0
5359959,1,128896,1
8071000,1,128902,0
1679357,1,128957,1
4759545,1,129002,1
2256207,1,129154,0
19310785,1,129181,1
14192000,1,129242,0
2554255,1,129349,1
255000,1,129428,0
8080039,1,129482,1
198773,1,129491,0
13823199,1,129525,0
235740,1,129534,0
7225557,1,129613,1
297050,1,129686,0
1669179,1,129774,0
18901573,1,129923,1
5629517,1,129932,1
9158450,1,129941,0
2742067,1,129969,1
2061344,1,130110,1
5215296,1,130129,1
53914069,1,130174,1
86804654,1,130183,1
22938626,1,130226,0
11491788,1,130253,0
3038000,1,130314,0
0,1,130448,0
11017405,1,130509,1
2575966,1,130581,1
11894149,1,130590,0
9783000,1,130697,0
0,1,130785,0
218606966,1,130794,0
18733,1,130837,0
9326765,1,130873,1
54114257,1,130943,0
820396,1,130989,0
1505060,1,131061,1
1352633,1,131098,0
3792795,1,131113,0
26129000,1,131159,0
11405471,1,131283,0
1053481,1,131308,0
596884,1,131405,0
12101512,1,131450,0
60032000,1,131469,0
43473000,1,131496,0
52625000,1,131520,0
17289983,1,131742,1
17032749,1,131803,1
0,1,131830,0
1068745,1,131876,0
1163921,1,131973,0
14528951,1,132268,1
38088654,1,132338,1
479179,1,132408,0
5765677,1,132471,0
461791,1,132523,1
3866439,1,132602,0
4182365,1,132657,0
1006123,1,132666,1
11406361,1,132806,1
497850,1,132842,0
251619,1,132879,0
457425,1,133085,0
16979810,1,133465,1
5023708,1,133492,0
1454723,1,133526,0
24558000,1,133553,0
6539332,1,133711,0
1011200,1,133809,0
7561000,1,133845,1
7964000,1,133854,1
6833000,1,133863,1
125701,1,133872,0
7952380,1,133881,0
708966,1,133942,1
2452655,1,133979,0
96188551,1,133997,1
1398928,1,134024,1
4731842,1,134079,0
43494302,1,134112,1
2464530,1,134121,1
22365639,1,134149,1
113296,1,134228,1
345351486,1,134237,1
918791,1,134422,1
152022,1,134510,0
2484542,1,134529,1
1595740,1,134574,1
20956882,1,134680,1
2744227,1,134714,1
65262113,1,134811,1
7980755,1,134909,1
4477664,1,134945,0
364582,1,135063,0
3876253,1,135081,0
9113277,1,135124,1
1907934,1,135142,1
1725884,1,135337,1
206222,1,135364,0
6323497,1,135416,1
77173,1,135610,0
121276433,1,135726,0
6339204,1,135771,1
157884,1,135939,0
9833979,1,135957,1
395404,1,136048,1
14292235,1,136066,1
5745364,1,136075,1
1822088,1,136109,1
34264475,1,136215,0
12233267,1,136288,1
6140409,1,136330,0
486811,1,136701,0
9937875,1,136774,0
564900,1,136783,1
9959000,1,136950,0
8354997,1,137032,0
10167275,1,137148,1
21271,1,137272,0
3408958,1,137476,0
4721665,1,137537,1
8299353,1,137546,0
4373118,1,137564,0
2675293,1,137591,1
46289,1,137777,0
10936556,1,137801,1
7571395,1,137810,1
