Addr,City,Control,Hbcu,Hloffer,Iclevel,Instnm,Latitude,Locale,Longitud,Newid,Number of Records,Obereg,Prgmofr,Sector,Stabbr,Unitid,ZIP
"2111 N. Northgate Way, Suite 300",Seattle,3,2,2,3,Everest College-Seattle,47.708423,11,-122.333346,-2,1,8,5,9,WA,236531,98133
1224 Commerce Ave.,Longview,3,2,2,3,Stylemaster College of Hair Design,46.135905,13,-122.934826,-2,1,8,3,9,WA,236744,98632-3027
609A Central Avenue,South Williamson,3,2,4,2,Appalachian Beauty School,37.672192,33,-82.295552,-2,1,5,1,6,KY,237127,41503
800 Wheeling Ave,Glen Dale,2,2,2,3,B M Spurr School of Practical Nursing,39.946228,23,-80.753173,-2,1,5,1,8,WV,237145,26038
210 Capitol St,Charleston,3,2,4,2,Charleston School of Beauty Culture,38.350168,13,-81.634675,-2,1,5,5,6,WV,237303,25301
120 S 3rd St,Clarksburg,3,2,4,2,Clarksburg Beauty Academy and School of Massage Therapy,39.279964,32,-80.338391,-2,1,5,3,6,WV,237321,26301
120 S Linden Ave,Clarksburg,2,2,2,3,HRDE-Stanley Technical Institute-Clarksburg,39.279099,32,-80.327956,-2,1,5,2,8,WV,237419,26301-2270
3274  Hedgesville Road,Martinsburg,1,2,2,3,James Rumsey Technical Institute,39.5328,22,-77.978583,-2,1,5,8,7,WV,237473,25403-0259
"144 Vocational Road, Three Mile Curve",Stollings,1,2,2,3,Ralph R Willis Career and Technical Center,37.827097,41,-81.942757,-2,1,5,11,7,WV,237491,25646
1397 Stafford Dr,Princeton,1,2,4,2,Mercer County Technical Education Center,37.360024,33,-81.104647,-2,1,5,12,4,WV,237543,24740
1000 Mississippi Street,Morgantown,1,2,2,3,Monongalia County Technical Education Center,39.611165,13,-79.957275,-2,1,5,16,7,WV,237561,26501
276 Walnut St,Morgantown,3,2,4,2,Morgantown Beauty College Inc,39.628855,13,-79.954318,-2,1,5,4,6,WV,237570,26505-5430
5514 Big Tyler Rd,Cross Lanes,3,2,3,2,Everest Institute-Cross Lanes,38.422839,22,-81.789864,-2,1,5,4,6,WV,237604,25313
120 Jackson St,Fairmont,2,2,2,3,Opportunities Industrialization Center,39.485033,32,-80.144976,-2,1,5,14,8,WV,237613,26554
390 Stanaford Rd,Beckley,1,2,2,3,Academy of Careers and Technology,37.799775,13,-81.168609,-2,1,5,21,7,WV,237729,25801
Rte 5 Box 2,Buckhannon,1,2,2,3,Fred W Eberle Technical Center,39.001908,33,-80.225278,-2,1,5,9,7,WV,237844,26201
Medical Ctr Dr,Morgantown,2,2,6,1,West Virginia University Hospital Departments of Rad Tech and Nutrition,39.650535,13,-79.964727,-2,1,5,6,2,WV,237905,26506-8062
201 West King Street,Martinsburg,3,2,4,2,International Beauty School 4,39.454573,13,-77.964891,-2,1,5,3,6,WV,238005,25401
300 Campus Drive,Parkersburg,1,2,2,3,Wood County School of Practical Nursing,39.21676,23,-81.50573,-2,1,5,2,7,WV,238096,26104
5780 N. Port Washington Rd.,Glendale,3,2,4,2,Advanced Institute of Hair Design-Glendale,43.12092,21,-87.916376,-2,1,3,1,6,WI,238166,53217
4111 S. 108th Street,Greenfield,3,2,4,2,VICI Aveda Institute,42.969138,21,-88.047841,-2,1,3,2,6,WI,238175,53228
230 S. McCarthy Rd,Appleton,3,2,4,2,Gill-Tech Academy of Hair Design,44.268381,22,-88.487234,-2,1,3,4,6,WI,238786,54914-8613
3408 Mall Drive,Eau Claire,3,2,4,2,The Salon Professional Academy-Eau Claire,44.783374,22,-91.461714,-2,1,3,5,6,WI,238810,54701-7633
6414 Odana Road,Madison,3,2,4,2,Empire Beauty School-Madison,43.055346,12,-89.49087,-2,1,3,1,6,WI,239132,53717-1111
1930 Grand Avenue,Wausau,3,2,4,2,State College of Beauty Culture Inc,44.958536,13,-89.625182,-2,1,3,5,6,WI,239877,54403
Calle Font Martelo #355,Humacao,2,2,2,3,Ryder Memorial School for Practical Nursing,18.150767,21,-65.827753,-2,1,9,1,8,PR,243407,791
Ave Ponce de Leon 1315,San Juan,3,2,2,3,Rogies School of Beauty Culture,18.439764,11,-66.073969,-2,1,9,5,9,PR,243416,00910-1828
800 Randolph St,Canton,1,2,2,3,Blue Hills Regional Technical School,42.181648,21,-71.103893,-2,1,1,1,7,MA,243799,2021
410 Neider Ave. Suite B,Coeur D Alene,3,2,4,2,Toni & Guy Hairdressing Academy-Coeur D Alene,47.70605,13,-116.793231,-2,1,7,2,6,ID,244491,83815
"17 N. State Street, Suite 500",Chicago,3,2,1,3,Cortiva Institute-Chicago,41.882431,11,-87.627383,-2,1,3,1,9,IL,244561,60602
1101 W Thorndale Ave,Itasca,3,2,2,3,ETI School of Skilled Trades,41.983934,21,-88.028993,-2,1,3,3,9,IL,244613,60143-1334
622 B Westport Rd,Elizabethtown,3,2,4,2,Trend Setters' Academy of Beauty Culture-Elizabethtown,37.703008,13,-85.882526,-2,1,5,3,6,KY,245069,42701
2845 Suncrest Dr,Jackson,3,2,2,3,Traxlers School of Hair,32.267776,12,-90.261855,-2,1,5,2,9,MS,245281,39212
305 Hwy 16 West,Carthage,3,2,2,3,Infinity Career College,32.737649,33,-89.533147,-2,1,5,3,9,MS,245290,39051-4423
3450 S. Packerland Dr.,De Pere,3,2,4,2,Paul Mitchell the School-Green Bay,44.468073,41,-88.115101,-2,1,3,1,6,WI,240240,54115
7020 Professional Pkwy E,Sarasota,3,2,3,2,Meridian College,27.380724,41,-82.425309,-2,1,5,7,6,FL,244279,34240
207 W 18 St,Cheyenne,3,2,4,2,Cheeks International Academy of Beauty Culture-Cheyenne,41.13418,13,-104.816671,-2,1,7,3,6,WY,240709,82001-4413
4373 N 3rd,Laramie,3,2,3,2,Wyotech-Laramie,41.339618,33,-105.590547,-2,1,7,3,6,WY,240718,82072-9519
199 Llorens Torres Ave Corner To Coll y Toste St,Arecibo,3,2,2,3,Institute of Beauty Careers,18.468611,13,-66.720979,-2,1,9,6,9,PR,240879,613
1685 CARR #2 KL 11.2,Bayamon,3,2,2,3,Educational Technical College-Recinto de Bayamon,18.395254,21,-66.159092,-2,1,9,10,9,PR,240985,959
Calle Cayey # 1911,San Juan,3,2,2,3,Antilles School of Technical Careers,18.437921,11,-66.058809,-2,1,9,7,9,PR,241182,909
Calle Munoz Rivera 9 Oeste,Mayaguez,3,2,2,3,Emma's Beauty Academy-Mayaguez,18.199825,13,-67.140997,-2,1,9,6,9,PR,241906,680
Avenida Colon A 8,Manati,3,2,2,3,Instituto de Educacion Tecnica Ocupacional La Reine-Manati,18.429557,21,-66.490994,-2,1,9,5,9,PR,242316,00674-0000
Carreta 189 km 6.0  Rincon Industrial Park,Gurabo,3,2,2,3,Hispanic American College,18.224421,21,-66.003107,-2,1,9,11,9,PR,242413,778
56 Carretera 20 Km 2.3,Guaynabo,3,2,3,2,Instituto de Banca y Comercio Inc,18.391708,13,-66.113889,-2,1,9,32,6,PR,242422,00966-2309
104 Loaiza Cordero St,San Juan,3,2,2,3,International Technical College,18.416999,11,-66.057312,-2,1,9,9,9,PR,242750,00918-3325
405 Ponce de Leon Ave.,San Juan,3,2,2,3,Liceo de Arte y Tecnologia,18.421013,11,-66.056421,-2,1,9,8,9,PR,242820,917
1256 Ponce de Leon Ave. Stop 18 1/2,Santurce,3,2,2,3,MBTI Business Training Institute,18.450225,11,-66.073372,-2,1,9,22,9,PR,242884,00907-3917
Dr Veve 57,Bayamon,3,2,2,3,Modern Hairstyling Institute-Bayamon,18.399209,21,-66.156474,-2,1,9,5,9,PR,242945,960
Vista Azul Shopping Center #2 Km.30.0,Arecibo,3,2,2,3,Modern Hairstyling Institute-Arecibo,18.476118,13,-66.754165,-2,1,9,5,9,PR,242954,612
1213 Acacia Street Villa Flores Urb,Ponce,3,2,3,2,Ponce Paramedical College Inc,18.017137,12,-66.592626,-2,1,9,25,6,PR,243072,00716-2901
3801 S Sheridan,Tulsa,3,2,5,1,Platt College-Tulsa,36.107931,11,-95.907011,-2,1,6,10,3,OK,245962,74145
122 N First St,Ponca City,3,2,2,3,Ponca City Beauty College,36.703852,33,-97.076898,-2,1,6,3,9,OK,245980,74601
12777 N Rockwell Ave,Oklahoma City,1,2,2,3,Francis Tuttle Technology Center,35.60052,11,-97.640672,-2,1,6,108,7,OK,245999,73142-2789
3 CT Circle,Drumright,1,2,2,3,Central Technology Center,35.994261,42,-96.585322,-2,1,6,24,7,OK,246017,74030
"2004 Lloyd Center, 3rd Floor",Portland,3,2,3,2,Carrington College-Portland,45.532356,11,-122.653583,-2,1,8,7,6,OR,246035,97232-1309
3201 Rockwell Ave,Scranton,1,2,2,3,Career Technology Center of Lackawanna County,41.452849,13,-75.652477,-2,1,2,1,7,PA,246071,18508
750 Envious Lane,Nashville,3,2,3,2,Kaplan Career Institute-Nashville,36.142966,11,-86.701519,-2,1,5,7,6,TN,246202,37217-5318
8360 Burnham Rd Ste 100,El Paso,3,2,3,2,Kaplan College-El Paso,31.737748,11,-106.327868,-2,1,6,6,6,TX,246266,79907
"2505 Lake Road  ,  Suite 1",Huntsville,3,2,2,3,Sebring Career Schools-Huntsville,30.708909,32,-95.547073,-2,1,6,2,9,TX,246406,77340
4130 Naco Perrin,San Antonio,3,2,2,3,University of Cosmetology Arts & Sciences-San Antonio Perrin,29.543796,11,-98.412979,-2,1,6,4,9,TX,246415,78217
1400 N. Mays,Round Rock,3,2,2,3,Central Texas Beauty College-Round Rock,30.519173,12,-97.689509,-2,1,6,2,9,TX,246460,78664-4604
1034 S 18th St,Manitowoc,3,2,4,2,Empire Beauty School-Manitowoc,44.088358,32,-87.671833,-2,1,3,1,6,WI,246594,54220-5040
1245 E Buckeye,Phoenix,1,2,2,3,Maricopa Skill Center,33.435722,11,-112.054739,-2,1,6,30,7,AZ,246895,85034-4101
"15555 E. 14th Street, Suite 500",San Leandro,3,2,3,2,Carrington College California-San Leandro,37.701216,13,-122.125819,-2,1,8,8,6,CA,246974,94578-1977
602 Main St,Lewiston,3,2,4,2,Headmasters School of Hair Design,46.420776,13,-117.024897,-2,1,7,2,6,ID,247010,83501
120 Holly Street,Nampa,3,2,4,2,Razzle Dazzle College of Hair Design Inc,43.567768,22,-116.563413,-2,1,7,4,6,ID,247047,83686-5104
"4300 Fashion Square Blvd., 2nd Floor, Suite 202",Saginaw,3,2,2,3,Ross Medical Education Center-Saginaw,43.466206,22,-83.976697,-2,1,3,3,9,MI,247409,48603
Briarwood Shopping Ctr,Madisonville,3,2,4,2,Heads West Kentucky Beauty College,37.344853,33,-87.499633,-2,1,5,3,6,KY,248165,42431
74  Parkway Plaza Loop,Whitesburg,3,2,4,2,Jenny Lea Academy of Cosmetology,37.12243,43,-82.839537,-2,1,5,2,6,KY,248192,41858
5314 Bardstown Rd,Louisville,3,2,4,2,Empire Beauty School-Hurstborne,38.166431,11,-85.604717,-2,1,5,2,6,KY,248305,40291
356 Manchester Sq,Manchester,3,2,4,2,Southeast School of Cosmetology,37.13934,33,-83.771098,-2,1,5,1,6,KY,248314,40962-8700
2514 Ferrand St,Monroe,3,2,2,3,Cloyd's Beauty School 3 Inc,32.532708,13,-92.080918,-2,1,5,4,9,LA,248527,71201
4701 12th Avenue NW,Norman,1,2,4,2,Moore Norman Technology Center,35.274434,41,-97.457319,-2,1,6,68,4,OK,248606,73069-8399
175 Georges Fairchance Rd,Uniontown,1,2,2,3,Fayette County Career & Technical Institute Practical Nursing Program,39.860976,23,-79.741718,-2,1,2,1,7,PA,248624,15401
1015 Philadelphia Avenue,Chambersburg,1,2,2,3,Franklin County Career and Technology Center,39.898369,41,-77.687718,-2,1,2,1,7,PA,248633,17201
8380 Kingston Pike,Knoxville,3,2,2,3,Paul Mitchell the School-Knoxville,35.923261,12,-84.058266,-2,1,5,1,9,TN,248660,37919
720-B Arcadia Street,Hurst,3,2,2,3,Ogle School Hair Skin Nails-Hurst,32.821696,21,-97.201543,-2,1,6,3,9,TX,248703,76053-4650
100 White Bridge Rd,Nashville,1,2,4,2,Tennessee College of Applied Technology-Nashville,36.132649,11,-86.856335,-2,1,5,23,4,TN,248925,37209-4515
17 E Park Blvd,Villa Park,3,2,2,3,Ms Robert's Academy of Beauty Culture-Villa Park,41.883413,21,-87.978107,-2,1,3,2,9,IL,249061,60181
"10516 Katy Fwy, Suite A",Houston,3,2,2,3,Paul Mitchell the School-Houston,29.78639,11,-95.558901,-2,1,6,2,9,TX,249238,77043
"1688 North Pricetown Road, Sr 534",Lake Milton,3,2,2,3,TDDS Technical Institute,41.115282,41,-80.957782,-2,1,3,3,9,OH,249566,44429
1700 Industrial Highway,Pottstown,3,2,2,3,Antonelli Medical and Professional Institute,40.2347,22,-75.617411,-2,1,2,3,9,PA,250072,19464
"5925 Imperial Parkway, Suite 200",Mulberry,3,2,4,2,Fortis Institute-Mulberry,27.937199,21,-81.986011,-2,1,5,5,6,FL,250498,33860
2701 W Bethany Home Rd.,Phoenix,3,2,3,2,Carrington College-Phoenix Westside,33.52331,11,-112.117751,-2,1,6,6,6,AZ,250601,85017-5885
400 Cornerstone Drive Suite 220,Williston,3,2,2,3,The Salon Professional Academy-Williston,44.448049,22,-73.102925,-2,1,1,3,9,VT,250832,5495
5951-S Boymel Dr.,Fairfield,3,2,4,2,Moler-Pickens Beauty Academy,39.317375,21,-84.499618,-2,1,3,4,6,OH,250902,45014
3300 W Bois D Arc,Duncan,1,2,2,3,Red River Technology Center,34.491121,32,-97.990494,-2,1,6,14,7,OK,250993,73533
5650 Derry St,Harrisburg,3,2,3,2,Kaplan Career Institute-Harrisburg,40.262406,21,-76.79169,-2,1,2,6,6,PA,251075,17111
602 S. Fifth St.,Clinton,1,2,2,3,Clinton Technical School,38.363787,33,-93.7687,-2,1,4,6,7,MO,260336,64735
2124 Ambassador Cir,Lancaster,3,2,3,2,Consolidated School of Business-Lancaster,40.042607,21,-76.361945,-2,1,2,9,6,PA,260354,17603
60 Zimmerman Drive,Waynesburg,1,2,2,3,Greene County Career and Technology Center,39.895622,32,-80.15002,-2,1,2,1,7,PA,260363,15370-8281
3523 Greenwood Road,Shreveport,3,2,1,3,Diesel Driving Academy-Shreveport,32.47616,12,-93.794921,-2,1,5,1,9,LA,260664,71109
957 S. Dobson Road,Mesa,3,2,3,2,Pima Medical Institute-Mesa,33.39683,11,-111.874242,-2,1,6,14,6,AZ,260691,85202
1270 S Vinnell Way,Boise,3,2,4,2,Paul Mitchell the School-Boise,43.594479,12,-116.286058,-2,1,7,1,6,ID,260929,83709
2601 N. Mulford,Rockford,3,2,2,3,Educators of Beauty College of Cosmetology-Rockford,42.29885,12,-88.998211,-2,1,3,2,9,IL,260965,61114
3420 S Memorial Drive,Tulsa,1,2,2,3,Tulsa Technology Center-Lemley Campus,36.112649,11,-95.888105,-2,1,6,21,7,OK,261375,74145-1390
801 East 91st,Tulsa,1,2,4,2,Tulsa Technology Center-Riverside Campus,36.033552,11,-95.982632,-2,1,6,16,4,OK,261384,74132-4008
4000 W. Florence St.,Broken Arrow,1,2,2,3,Tulsa Technology Center-Broken Arrow Campus,36.002853,41,-95.833117,-2,1,6,10,7,OK,261393,74012
331 East Grand River Ave,East Lansing,3,2,2,3,Douglas J Aveda Institute,42.735042,13,-84.48049,-2,1,3,3,9,MI,261436,48823
8110 Murphy Drive,Brighton,3,2,2,3,Ross Medical Education Center-Brighton,42.544378,22,-83.798085,-2,1,3,4,9,MI,261676,48116
4741 Washtenaw Ave,Ann Arbor,3,2,2,3,Ross Medical Education Center-Ann Arbor,42.253094,21,-83.667045,-2,1,3,4,9,MI,261685,48108-1411
23129 Ecorse Rd,Taylor,3,2,2,3,Taylortown School of Beauty Inc,42.255736,13,-83.25932,-2,1,3,3,9,MI,261719,48180-1866
342 Vo-Tech Rd,Eolia,1,2,2,3,Pike-Lincoln Technical Center,39.246069,43,-91.020347,-2,1,4,12,7,MO,261773,63344-0038
4066 N Oracle,Tucson,3,2,2,3,Arizona Academy of Beauty-North,32.28066,11,-110.978064,-2,1,6,3,9,AZ,262235,85705
410 W Goodwin St,Prescott,3,2,2,3,Empire Beauty School-Prescott,34.540805,13,-112.473817,-2,1,6,2,9,AZ,262299,86303
2300 E Broadway Rd,Tempe,3,2,2,3,Conservatory of Recording Arts and Sciences,33.407853,12,-111.889544,-2,1,6,1,9,AZ,262341,85282-1707
1340 W Main St,Turlock,3,2,2,3,Adrian's College of Beauty Turlock,37.492628,23,-120.863441,-2,1,8,4,9,CA,262369,95380
1100 Technology Cir,Anaheim,3,2,1,3,California Career School,33.819073,11,-117.906418,-2,1,8,4,9,CA,262402,92805
5055 Chaparral Court,Boulder,2,2,1,3,Rolf Institute of Structural Integration,40.06632,13,-105.203071,-2,1,7,2,8,CO,262466,80301-0000
12 Lakeside Lane,Denver,3,2,3,2,Heritage College-Denver,39.782556,21,-105.059221,-2,1,7,6,6,CO,262509,80212
1049 Bardstown Rd,Louisville,3,2,4,2,Empire Beauty School-Highland,38.239623,11,-85.722659,-2,1,5,2,6,KY,262660,40204
2040 Colonial Blvd,Fort Myers,3,2,2,3,Sunstate Academy,26.595777,13,-81.868291,-2,1,5,3,9,FL,362700,33907
222 Boston Avenue,Medford,3,2,1,3,Elizabeth Grady School of Esthetics and Massage Therapy,42.415599,21,-71.126566,-2,1,1,2,9,MA,362782,2155
"2887 Krafft Road, Suite 700",Port Huron,3,2,2,3,Ross Medical Education Center-Port Huron,43.015077,23,-82.447609,-2,1,3,2,9,MI,363013,48060
1595 Main Ave,Clifton,3,2,2,3,Capri Institute of Hair Design-Clifton,40.887599,21,-74.150342,-2,1,2,4,9,NJ,363077,7011
2445 W. State St.,Alliance,3,2,4,2,Raphael's School of Beauty Culture Inc-Alliance,40.902642,31,-81.152086,-2,1,3,5,6,OH,363147,44601
1900 Springlake Drive,Oklahoma City,1,2,4,2,Metro Technology Centers,35.512549,11,-97.478182,-2,1,6,41,4,OK,363165,73111-5240
9833 Watson Road,St. Louis,3,2,2,3,Grabber School of Hair Design,38.55748,21,-90.390991,-2,1,4,2,9,MO,363679,63126
3307 Center Rd.,Brunswick,3,2,4,2,Raphael's School of Beauty Culture Inc-Brunswick,41.240193,21,-81.804457,-2,1,3,5,6,OH,363882,44212
333 Westchester Avenue,White Plains,3,2,4,2,Sanford-Brown Institute-White Plains,41.027865,13,-73.745206,-2,1,2,4,6,NY,364326,10604-2910
711 Stewart Avenue,Garden City,3,2,4,2,Sanford-Brown Institute-Garden City,40.733453,21,-73.608238,-2,1,2,5,6,NY,364335,11530
4500 W Lee Blvd,Lawton,1,2,4,2,Great Plains Technology Center,34.593953,13,-98.447017,-2,1,6,35,4,OK,364548,73505-8399
9450 Spencer Rd,Leroy,1,2,2,3,Roane-Jackson Technical Center,38.82209,42,-81.5611,-2,1,5,2,7,WV,364575,25252-9700
5303 N Market St,Spokane,3,2,2,3,Total Cosmetology Training Center,47.715686,12,-117.391778,-2,1,8,5,9,WA,364584,99217
"1600 East Pioneer Pkwy, Suite 200",Arlington,3,2,2,3,Iverson Business School,32.758553,11,-97.092482,-2,1,6,2,9,TX,364593,76010
750 Phelps Way,New Castle,1,2,2,3,Lawrence County Career and Technical Center-Practical Nursing Program,40.975899,31,-80.330956,-2,1,2,1,7,PA,364618,16101-5099
2101 N Ash,Ponca City,1,2,2,3,Pioneer Technology Center,36.72772,33,-97.093516,-2,1,6,18,7,OK,364627,74601
4401 Shriver Rd,Uniontown,1,2,2,3,Portage Lakes Career Center,40.943122,21,-81.472008,-2,1,3,7,7,OH,364636,44685
201 Evans Rd. Bldg 400,New Orleans,3,2,1,3,Eastern College of Health Vocations-New Orleans,29.943613,21,-90.181626,-2,1,5,2,9,LA,364751,70123
5717  W. Cermak Road,Cicero,3,2,2,3,Bell Mar Beauty College,41.850669,21,-87.767083,-2,1,3,3,9,IL,364760,60804
4217 W North Ave,Chicago,3,2,2,3,Cannella School of Hair Design-Chicago,41.909626,11,-87.732314,-2,1,3,2,9,IL,364812,60639-4828
1415 N. 7th Street,Fort Cobb,1,2,4,2,Caddo Kiowa Technology Center,35.09512,43,-98.44242,-2,1,6,69,4,OK,364946,73038-0190
7142 San Pedro  Suite 100,San Antonio,3,2,3,2,Kaplan College-San Antonio-San Pedro,29.512822,11,-98.497103,-2,1,6,7,6,TX,364955,78216-1899
179 County  Route 64,Mexico,1,2,2,3,Oswego County BOCES,43.457841,42,-76.259308,-2,1,2,11,7,NY,364964,13114
