Addr,City,Control,Hbcu,Hloffer,Iclevel,Instnm,Latitude,Locale,Longitud,Newid,Number of Records,Obereg,Prgmofr,Sector,Stabbr,Unitid,ZIP
421 Martling Road,Albertville,3,2,2,3,New Beginning College of Cosmetology,34.278124,32,-86.196979,-2,1,5,2,9,AL,101277,35951
809 Second Avenue,Seward,1,2,3,2,AVTEC-Alaska's Institute of Technology,60.110727,43,-149.444573,-2,1,8,17,4,AK,102711,99664-0889
1415 E Tudor Road,Anchorage,3,2,3,2,Alaska Career College,61.181443,11,-149.856954,-2,1,8,7,6,AK,103501,99507-1033
12827 N Tatum Blvd,Phoenix,3,2,2,3,Empire Beauty School-Paradise Valley,33.602593,11,-111.976357,-2,1,6,2,9,AZ,103732,85032
3030 E Speedway Blvd,Tucson,3,2,2,3,Empire Beauty School-Tucson,32.235657,11,-110.927187,-2,1,6,2,9,AZ,103741,85716
440 S 54th Avenue,Phoenix,3,2,1,3,American Institute of Technology,33.442262,11,-112.175304,-2,1,6,4,9,AZ,103811,85043-4729
8503 N 27th Ave.,Phoenix,3,2,5,1,Carrington College-Phoenix,33.560821,11,-112.115546,-2,1,6,5,3,AZ,103893,85051-4063
"1001 Southern Ave., Ste. 130",Mesa,3,2,4,2,Carrington College-Mesa,33.39207,11,-111.855281,-2,1,6,10,6,AZ,103909,85210
3550 N Oracle Rd.,Tucson,3,2,3,2,Carrington College-Tucson,32.27094,11,-110.977571,-2,1,6,7,6,AZ,103927,85705-5885
5631 E Speedway Blvd,Tucson,3,2,2,3,Arizona Academy of Beauty-East,32.237253,11,-110.872305,-2,1,6,3,9,AZ,103954,85712
6829 N 46th Ave,Glendale,3,2,2,3,Arizona Automotive Institute,33.537249,21,-112.157344,-2,1,6,4,9,AZ,103963,85301-3579
"2445 W. Dunlap Ave., Ste. 100",Phoenix,3,2,7,1,Brookline College-Phoenix,33.525384,11,-112.15007,-2,1,6,26,3,AZ,104090,85021
"15147 N. Scottsdale Road, Suite H-300",Scottsdale,3,2,2,3,Brillare Hairdressing Academy,33.623979,12,-111.925481,-2,1,6,1,9,AZ,104294,85254
"1987 McCulloch Blvd, Suite 205",Lake Havasu City,3,2,2,3,Charles of Italy Beauty College,34.475275,13,-114.328134,-2,1,6,2,9,AZ,104391,86403
1790 E Rte 66,Flagstaff,3,2,2,3,Empire Beauty School-Flagstaff,35.197151,13,-111.625936,-2,1,6,2,9,AZ,104434,86004
2978 N Alma School Rd #1-3,Chandler,3,2,2,3,Empire Beauty School-Chandler,33.347586,21,-111.860423,-2,1,6,2,9,AZ,104443,85224
"6390 E. Broadway, Suite 100",Tucson,3,2,2,3,Cortiva Institute-Tucson,32.21901,11,-110.856785,-2,1,6,2,9,AZ,104504,85710
2111 S Alma School Rd Ste 21,Mesa,3,2,2,3,Avalon School of Cosmetology-Mesa,33.376583,11,-111.858305,-2,1,6,3,9,AZ,104568,85210
1445 W Southern Ave #2006,Mesa,3,2,2,3,International Academy of Hair Design,33.392961,11,-111.862674,-2,1,6,4,9,AZ,104911,85202-4887
"13610 N Black Canyon Hwy,  Ste 104",Phoenix,3,2,3,2,Kaplan College-Phoenix,33.608202,11,-112.118921,-2,1,6,4,6,AZ,105118,85029
2844 W Deer Valley Rd,Phoenix,3,2,4,2,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,33.684428,11,-112.121336,-2,1,6,10,6,AZ,105215,85027
8010 East McDowell Road #214,Scottsdale,3,2,1,3,Cortiva Institute-Scottsdale,33.466554,12,-111.908433,-2,1,6,1,9,AZ,105482,85257
"3350 East Grant Road, Suite 200",Tucson,3,2,5,1,Pima Medical Institute-Tucson,32.250448,11,-110.921306,-2,1,6,16,3,AZ,105534,85716
4400 Cutler Avenue NE,Albuquerque,3,2,3,2,Pima Medical Institute-Albuquerque,35.10485,11,-106.594451,-2,1,6,12,6,NM,105543,87110
4210 E Washington Street,Phoenix,3,2,3,2,Refrigeration School Inc,33.448692,11,-111.989357,-2,1,6,4,6,AZ,105659,85034-1816
1012 NW Grand Ave,Phoenix,3,2,1,3,Roberto-Venn School of Luthiery,33.45489,11,-112.086161,-2,1,6,1,9,AZ,105677,85007
1550 West Thatcher Blvd,Safford,3,2,2,3,Hair Academy of Safford,32.835302,41,-109.727696,-2,1,6,3,9,AZ,105701,85546
"5151 E Broadway Blvd, Ste.155",Tucson,3,2,2,3,Tucson College,32.22205,11,-110.883181,-2,1,6,9,9,AZ,105987,85711
10695 West Pierce Street,Avondale,3,2,3,2,Universal Technical Institute of Arizona Inc,33.453533,22,-112.289693,-2,1,6,8,6,AZ,106041,85323
2727 W. Glendale Ave. #200,Glendale,3,2,2,3,Empire Beauty School-NW Phoenix,33.538093,11,-112.118168,-2,1,6,2,9,AZ,106111,85051
203 S 26th Street,Arkadelphia,3,2,2,3,ABC Beauty College Inc,34.12018,32,-93.080831,-2,1,5,4,9,AR,106281,71923
5108 Baseline Rd,Little Rock,3,2,2,3,Arkansas Beauty School,34.669071,12,-92.334814,-2,1,5,4,9,AR,106315,72209
109 N Commerce St,Russellville,3,2,2,3,Arkansas Beauty College,35.278622,33,-93.13522,-2,1,5,4,9,AR,106324,72801
200 E Washington Ave,North Little Rock,3,2,2,3,Arkansas College of Barbering and Hair Design,34.753621,13,-92.266336,-2,1,5,2,9,AR,106351,72114
2000 North B St,Fort Smith,3,2,2,3,Arthur's Beauty College Inc-Fort Smith,35.379955,13,-94.410967,-2,1,5,2,9,AR,106360,72901-3342
2600 John Harden Dr,Jacksonville,3,2,2,3,Arthur's Beauty College Inc-Jacksonville,34.8918,21,-92.102284,-2,1,5,2,9,AR,106494,72076
200 South University Avenue,Little Rock,3,2,1,3,Eastern College of Health Vocations-Little Rock,34.75128,12,-92.341891,-2,1,5,2,9,AR,106892,72205
4201 E McCain Blvd,North Little Rock,3,2,2,3,Imagine-Paul Mitchell Partner School,34.791306,13,-92.221304,-2,1,5,2,9,AR,106908,72117
100 Cones Rd,Hot Springs,3,2,2,3,Hot Springs Beauty College,34.496287,13,-93.038381,-2,1,5,4,9,AR,107099,71901
1600 West 40th St,Pine Bluff,2,2,4,2,Jefferson Regional Medical Center School of Nursing,34.187831,13,-92.018045,-2,1,5,1,5,AR,107123,71603
2700 W. Pershing Blvd,North  Little Rock,3,2,2,3,Lees School of Cosmetology,34.781993,13,-92.296729,-2,1,5,2,9,AR,107211,72114-3800
346 E. Robinson Ave,Springdale,3,2,2,3,Career Academy of Hair Design,36.16757,13,-94.131834,-2,1,5,4,9,AR,107220,72764-7128
408 Hwy 201 N,Mountain Home,3,2,2,3,Marsha Kay Beauty College,36.344658,33,-92.386019,-2,1,5,1,9,AR,107275,72653-3164
311 S 16th St,Fort Smith,3,2,2,3,Academy of Salon and Spa,35.380891,13,-94.416327,-2,1,5,4,9,AR,107293,72901
305 East Gaines Street,Monticello,3,2,2,3,Margaret's Hair Academy Inc,33.629169,33,-91.7887,-2,1,5,3,9,AR,107363,71655
1221 E 7th St,North Little Rock,3,2,2,3,New Tyler Barber College Inc,34.759076,13,-92.254108,-2,1,5,2,9,AR,107442,72114-4973
460 North Washington,El Dorado,3,2,2,3,Professional Cosmetology Education Center,33.215124,33,-92.663131,-2,1,5,2,9,AR,107655,71730-4009
4156 N Steele Blvd,Fayetteville,3,2,2,3,Paul Mitchell the School-Arkansas,36.127461,13,-94.154447,-2,1,5,1,9,AR,107789,72703
1004 S Main,Searcy,3,2,2,3,Searcy Beauty College Inc,35.237723,32,-91.73454,-2,1,5,3,9,AR,107831,72143
1520 Martin Luther King Dr,Little Rock,3,2,2,3,Velvatex College of Beauty Culture,34.735724,12,-92.289758,-2,1,5,1,9,AR,108065,72202-5452
16052 Beach Blvd St 263n,Huntington Beach,3,2,2,3,The Academy of Radio and TV Broadcasting,33.728895,21,-117.987666,-2,1,8,3,9,CA,108348,92647
2318 Central Ave,Alameda,3,2,2,3,Avalon School of Cosmetology-Alameda,37.764203,21,-122.243566,-2,1,8,2,9,CA,108649,94501
646 S. Sunset Ave,West Covina,3,2,2,3,American Beauty College,33.884391,21,-118.125036,-2,1,8,4,9,CA,108977,91790
102 N Glassell St,Orange,3,2,2,3,COBA Academy,33.788258,12,-117.85348,-2,1,8,1,9,CA,112455,92866
1622 N. Highland Ave,Hollywood,3,2,1,3,Elegance International,34.062216,11,-118.338332,-2,1,8,1,9,CA,114044,90028-6106
200 N. San Fernando Blvd,Burbank,3,2,2,3,Marinello Schools of Beauty-Burbank,34.181902,12,-118.309749,-2,1,8,7,9,CA,114071,91502
24741 Alessandro Blvd,Moreno Valley,3,2,2,3,Marinello Schools of Beauty-Moreno Valley,33.915981,21,-117.228072,-2,1,8,4,9,CA,114080,92553
3035 Cleveland Ave,Santa Rosa,3,2,3,2,Empire College School of Business,38.467789,12,-122.728642,-2,1,8,23,6,CA,114123,95403-2126
1515 Sports Drive    Ste 100,Sacramento,3,2,2,3,Federico Beauty Institute,38.64883,21,-121.497761,-2,1,8,2,9,CA,114460,95834
1110 N Tustin St,Orange,3,2,2,3,Hair California Beauty Academy,33.805786,12,-117.836692,-2,1,8,6,9,CA,114628,92867
831 F St,Eureka,3,2,2,3,Fredrick and Charles Beauty College,40.798811,33,-124.165778,-2,1,8,4,9,CA,114761,95501
4021 Rosewood Avenue,Los Angeles,3,2,3,2,American Career College-Los Angeles,34.079236,11,-118.292282,-2,1,8,8,6,CA,109040,90004
22336 Main Street,Hayward,3,2,2,3,Everest College-Hayward,37.675438,12,-122.084826,-2,1,8,4,9,CA,109332,94541
1670 Wilshire Blvd,Los Angeles,3,2,2,3,Associated Technical College-Los Angeles,34.055987,11,-118.27243,-2,1,8,2,9,CA,109721,90017-1604
707 Broadway-Ste 300,San Diego,3,2,1,3,Associated Technical College-San Diego,32.715658,11,-117.158203,-2,1,8,2,9,CA,109730,92101
1520 East Plaza Blvd,National City,3,2,4,2,Bellus Academy-National City,32.676762,21,-117.090235,-2,1,8,4,6,CA,109934,91950
1110 Technology Cir Ste D,Anaheim,3,2,2,3,Brownson Technical School,33.819,11,-117.906409,-2,1,8,2,9,CA,110194,92805
1115 15th St,Modesto,3,2,2,3,California Beauty School,37.645217,12,-120.99689,-2,1,8,2,9,CA,110875,95354
"8011 University Avenue, Suite A-2",La Mesa,3,2,2,3,California Hair Design Academy,32.765221,21,-117.024261,-2,1,8,4,9,CA,111054,91941-5055
12471 Valley View,Garden Grove,3,2,2,3,Career Academy of Beauty,33.781018,21,-118.031697,-2,1,8,4,9,CA,111513,92845
6725 Kester Ave,Van Nuys,2,2,3,2,Casa Loma College-Van Nuys,34.195438,11,-118.448335,-2,1,8,6,5,CA,111638,91405
4153 Market Street,San Diego,2,2,2,3,CET-San Diego,32.711715,11,-117.122496,-2,1,8,3,8,CA,111708,92102
701 Vine St,San Jose,2,2,2,3,CET-Sobrato,37.322723,11,-121.88698,-2,1,8,9,8,CA,111717,95110
294 S 3rd St,El Centro,2,2,2,3,CET-El Centro,32.790908,13,-115.549079,-2,1,8,5,8,CA,111726,92243
1430 Cooley Court,San Bernardino,2,2,2,3,CET-San Bernardino,34.075136,12,-117.268738,-2,1,8,3,8,CA,111744,92408
10 Blanca Lane,Watsonville,2,2,2,3,CET-Watsonville,36.931833,13,-121.767991,-2,1,8,4,8,CA,111762,95076
7800 Arroyo Cir,Gilroy,2,2,2,3,CET-Gilroy,37.015671,23,-121.561429,-2,1,8,3,8,CA,111771,95020
421 Monterey St,Salinas,2,2,2,3,CET-Salinas,36.671635,12,-121.652791,-2,1,8,2,8,CA,111799,93901
7518 Baird Way,Citris Heights,3,2,2,3,Citrus Heights Beauty College,38.7131,21,-121.289501,-2,1,8,3,9,CA,112181,95610-1410
6500 S. Mooney Blvd.,Visalia,3,2,1,3,Milan Institute-Visalia,36.27164,12,-119.312151,-2,1,8,8,9,CA,112288,93277
1452 David E Cook Way,Clovis,1,2,2,3,Clovis Adult Education,36.836915,21,-119.69019,-2,1,8,4,7,CA,112367,93611
8700 Van Nuys Blvd,Panorama City,3,2,2,3,Western Beauty Institute,34.227357,11,-118.449674,-2,1,8,5,9,CA,112783,91402
2627 W Florida Ave-Ste 100,Hemet,3,2,2,3,Marinello Schools of Beauty-Hemet,33.746002,22,-116.999892,-2,1,8,8,9,CA,113397,92545
72261 Hwy 111 Ste 121-B,Palm Desert,3,2,2,3,International School of Beauty Inc,33.729555,21,-116.403928,-2,1,8,8,9,CA,113449,92260-2740
955 Monroe St,Santa Clara,3,2,2,3,Marinello Schools of Beauty-Santa Clara,37.347964,12,-121.947773,-2,1,8,7,9,CA,113908,95050
5345 Armada Dr,Carlsbad,2,2,1,3,Gemological Institute of America-Carlsbad,33.131313,12,-117.318765,-2,1,8,7,8,CA,114947,92008
240 North Brand Boulevard Lower Level,Glendale,3,2,2,3,Glendale Career College,34.14969,12,-118.254561,-2,1,8,6,9,CA,115010,91203
208 W Highland Ave,San Bernardino,3,2,2,3,Salon Success Academy-San Bernardino,34.135988,12,-117.287615,-2,1,8,2,9,CA,115357,92405
6317 Mission St,Daly City,3,2,2,3,Hilltop Beauty School,37.705545,21,-122.461674,-2,1,8,3,9,CA,115658,94014
2400 Walsh Avenue,Santa Clara,3,2,2,3,Institute for Business and Technology,37.368642,12,-121.969541,-2,1,8,6,9,CA,115931,95051-1303
1358 5th St,Santa Monica,3,2,2,3,Toni & Guy Hairdressing Academy-Santa Monica,34.017466,13,-118.494898,-2,1,8,1,9,CA,116350,90401
1073 E Main St,El Cajon,3,2,4,2,Bellus Academy-El Cajon,32.794827,21,-116.945728,-2,1,8,7,6,CA,116563,92021
1670 Hillhurst Avenue,Los Angeles,3,2,1,3,Joe Blasco Makeup Artist Training Center,34.10148,11,-118.287041,-2,1,8,1,9,CA,116660,90027-5580
44646 N 10th St W,Lancaster,3,2,2,3,Lancaster Beauty School,34.695646,21,-118.148664,-2,1,8,8,9,CA,117238,93534
470 East Thompson Blvd,Ventura,3,2,2,3,Lu Ross Academy,34.278034,12,-119.293952,-2,1,8,4,9,CA,117955,93001-2729
3756 N Blackstone Ave,Fresno,3,2,2,3,Manchester Beauty College,36.792868,11,-119.79116,-2,1,8,4,9,CA,118116,93726
1400 W Inyo St,Tulare,3,2,2,3,Tulare Beauty College,36.204102,22,-119.367947,-2,1,8,2,9,CA,118125,93274
2935 F St,Bakersfield,3,2,2,3,Lyles Bakersfield College of Beauty,35.386525,11,-119.023903,-2,1,8,5,9,CA,118134,93301
6735 N First Ave Ste 112,Fresno,3,2,2,3,Lyles Fresno College of Beauty,36.836251,11,-119.773747,-2,1,8,4,9,CA,118143,93710
186 Wikiup Dr,Santa Rosa,3,2,2,3,Lytles Redwood Empire Beauty College Inc,38.508581,21,-122.758546,-2,1,8,2,9,CA,118161,95403
6006 N. El Dorado Street,Stockton,3,2,2,3,MTI Business College Inc,38.007318,11,-121.308527,-2,1,8,11,9,CA,118189,95207-4349
5221 Madison Ave,Sacramento,3,2,3,2,MTI College,38.661377,21,-121.342568,-2,1,8,17,6,CA,118198,95841-9817
"4330 Watt Ave., Suite 400",Sacramento,3,2,3,2,Kaplan College-Sacramento,38.644462,21,-121.380453,-2,1,8,5,6,CA,118259,95821
9055 Balboa Avenue,San Diego,3,2,3,2,Kaplan College-San Diego,32.821707,11,-117.133017,-2,1,8,10,6,CA,118277,92123
2022 University Dr,Vista,3,2,3,2,Kaplan College-Vista,33.17244,21,-117.220816,-2,1,8,11,6,CA,118286,92083-7736
1241 S. Soto Street Suite #101,Los Angeles,3,2,2,3,Marinello Schools of Beauty-Los Angeles,34.027512,11,-118.219865,-2,1,8,8,9,CA,118356,90023
1087 Mission Street,San Francisco,3,2,2,3,Marinello Schools of Beauty-San Francisco,37.779467,11,-122.410416,-2,1,8,7,9,CA,118921,94103
699 South C St,Oxnard,3,2,2,3,Modern Beauty Academy,34.195384,12,-119.181423,-2,1,8,3,9,CA,118958,93030
"6180 Laurel Canyon Boulevard, Suite 101",North Hollywood,3,2,4,2,Kaplan College-North Hollywood,34.182673,11,-118.396131,-2,1,8,6,6,CA,118967,91606-3231
3815 Telegraph Ave,Oakland,3,2,2,3,Moler Barber College,37.826826,11,-122.265094,-2,1,8,5,9,CA,118994,94609-2419
814 Mission St  Suite 500,San Francisco,3,2,2,3,Everest College-San Francisco,37.784524,11,-122.404815,-2,1,8,5,9,CA,119340,94103-9946
1245 South Winchester Blvd #102,San Jose,3,2,2,3,Everest College-San Jose,37.302842,11,-121.950651,-2,1,8,4,9,CA,119438,95128
"1045 W. Redondo Beach Boulevard, Suite 275",Gardena,3,2,2,3,Everest College-Gardena,33.893072,13,-118.292896,-2,1,8,8,9,CA,119456,90247
2215 W Mission Rd,Alhambra,3,2,2,3,Everest College-Alhambra,34.080181,21,-118.148684,-2,1,8,9,9,CA,119465,91803
5900 Doyle Street,Emeryville,3,2,2,3,National Holistic Institute,37.841898,21,-122.287672,-2,1,8,3,9,CA,119553,94608-2008
16860 Devonshire Blvd,Granada Hills,3,2,2,3,Newberry School of Beauty,34.25748,11,-118.499469,-2,1,8,4,9,CA,119845,91344-7401
124 Floyd Ave,Modesto,3,2,2,3,Adrian's College of Beauty Modesto,37.677778,12,-120.992753,-2,1,8,4,9,CA,119951,95350-2381
170  W Holt Ave,Pomona,3,2,2,3,North-West College-Pomona,34.06203,21,-117.751861,-2,1,8,8,9,CA,120069,91768
2121 W Garvey Ave,West Covina,3,2,2,3,North-West College-West Covina,34.072071,21,-117.949583,-2,1,8,11,9,CA,120078,91790
530 E Union,Pasadena,3,2,2,3,North-West College-Pasadena,34.146907,12,-118.139266,-2,1,8,8,9,CA,120087,91101
1575 S Coast Hwy,Oceanside,3,2,2,3,Oceanside College of Beauty,33.178889,21,-117.365276,-2,1,8,3,9,CA,120272,92054-5356
"4393 Imperial Avenue, Suite 100",San Diego,3,2,4,2,Concorde Career College-San Diego,32.70406,11,-117.10187,-2,1,8,8,6,CA,120661,92113-1964
1655 Willow Pass Road,Concord,3,2,2,3,Paris Beauty College,37.972204,21,-122.043458,-2,1,8,5,9,CA,121017,94520
10801 E. Valley Mall,El Monte,3,2,2,3,Professional Institute of Beauty,34.075,21,-118.038,-2,1,8,3,9,CA,121433,91731
678 N Market St,Redding,3,2,2,3,Shasta School of Cosmetology,40.59708,13,-122.387211,-2,1,8,4,9,CA,121637,96003
1385 E. Foothill Blvd,Upland,3,2,2,3,Salon Success Academy-Upland,34.108353,21,-117.631091,-2,1,8,2,9,CA,121859,91786
2097 Compton Ave. Suite 201,Corona,3,2,2,3,Salon Success Academy-Corona,33.84778,12,-117.535451,-2,1,8,3,9,CA,121868,92879
8531 E Valley Blvd,Rosemead,3,2,2,3,Rosemead Beauty School,34.080756,21,-118.082793,-2,1,8,3,9,CA,121992,91770-1639
200 Whitney Place,Fremont,3,2,3,2,Wyotech-Fremont,37.469279,21,-121.919395,-2,1,8,6,6,CA,123208,94539
1340 W 18th St,Merced,3,2,2,3,Sierra College of Beauty,37.306585,13,-120.495668,-2,1,8,3,9,CA,123350,95340
5451 Lemon Hill Ave,Sacramento,1,2,4,2,Charles A Jones Career and Education Center,38.51651,11,-121.44111,-2,1,8,11,4,CA,123493,95824-1529
"1000 South Fremont Avenue, Bldg A-11, Ste 11010",Alhambra,3,2,3,2,Pinnacle College,34.081485,21,-118.150493,-2,1,8,3,6,CA,123581,91803
2011 W. Chapman Avenue,Orange,3,2,4,2,South Coast College,33.787946,12,-117.874109,-2,1,8,5,6,CA,123642,92868-2609
"12951 Euclid Street, Suite 101",Garden Grove,3,2,3,2,Concorde Career College-Garden Grove,33.774741,21,-117.938395,-2,1,8,7,6,CA,123679,92840-9201
23635 El Toro Road Suite K,Lake Forest,3,2,2,3,Marinello Schools of Beauty-Lake Forest,33.61932,21,-117.704674,-2,1,8,7,9,CA,124344,92630
6055 Pacific Blvd.,Huntington Park,3,2,3,2,United Education Institute-Huntington Park Campus,33.986057,21,-118.226206,-2,1,8,9,6,CA,124681,90255
"201 East Airport Drive, Suite A",San Bernardino,3,2,4,2,Concorde Career College-San Bernardino,34.06722,12,-117.28398,-2,1,8,10,6,CA,124706,92408-3403
8619 S. Vermont Ave,Los Angeles,3,2,2,3,Universal College of Beauty Inc-Los Angeles 1,33.959435,21,-118.292148,-2,1,8,3,9,CA,124779,90044
12412 Victory Boulevard,North Hollywood,3,2,3,2,Concorde Career College-North Hollywood,34.186464,11,-118.403755,-2,1,8,7,6,CA,124937,91606-3134
75 Kitts Lane,Newington,3,2,1,3,Connecticut Center for Massage Therapy-Newington,41.685072,21,-72.710705,-2,1,1,2,9,CT,128896,06111-3975
1000 Main St,East Hartford,3,2,2,3,Marinello Schools of Beauty-East Hartford,41.771184,13,-72.642363,-2,1,1,2,9,CT,128957,6108
97 Newberry Road,East Windsor,3,2,4,2,Lincoln Technical Institute-East Windsor,41.924248,41,-72.596915,-2,1,1,9,6,CT,129181,6088
97 Washington Ave,North Haven,3,2,2,3,Northhaven Academy,41.394495,21,-72.85745,-2,1,1,1,9,CT,129349,6473
99 South Street,West Hartford,3,2,4,2,Fox Institute of Business-West Hartford,41.727016,13,-72.725762,-2,1,1,5,6,CT,129482,06110-1922
470 Bank Street,New London,3,2,2,3,Ridley-Lowell Business & Technical Institute-New London,41.349947,13,-72.100514,-2,1,1,9,9,CT,129969,6320
111 Wall St,Bridgeport,3,2,2,3,The Leon Institute of Hair Design,41.178228,12,-73.188576,-2,1,1,1,9,CT,129640,06604-4226
200 John Downey Dr,New Britain,3,2,2,3,Lincoln Technical Institute-New Britain,41.659236,21,-72.754498,-2,1,1,6,9,CT,129923,6051
32 Field Rd,Somers,3,2,1,3,New England Tractor Trailer Training School of Connecticut,41.978355,21,-72.451739,-2,1,1,1,9,CT,129932,6071
16515 Mojave Dr,Victorville,3,2,2,3,Victor Valley Beauty College Inc,34.528578,12,-117.303918,-2,1,8,3,9,CA,125082,92395
1271 North Main Street,Salinas,3,2,2,3,Waynes College of Beauty,36.70055,12,-121.652311,-2,1,8,2,9,CA,125310,93906-2830
8909 Folsom Blvd,Sacramento,3,2,4,2,Carrington College California-Sacramento,38.561777,21,-121.36892,-2,1,8,11,6,CA,125532,95826
432 North Avenue,Grand Junction,3,2,4,2,The Salon Professional Academy-Grand Junction,39.07799,13,-108.564961,-2,1,7,1,6,CO,126164,81501
111 N. Havana Street,Aurora,3,2,3,2,Concorde Career College-Aurora,39.718699,11,-104.867089,-2,1,7,12,6,CO,126687,80010-4314
1575 Hoyt St,Lakewood,3,2,3,2,Colorado School of Trades,39.741009,12,-105.103945,-2,1,7,1,6,CO,126784,80215-2996
441 Wadsworth Blvd,Lakewood,3,2,4,2,Empire Beauty School-Lakewood,39.722781,12,-105.082104,-2,1,7,1,6,CO,126854,80226
1765 US Hwy 50,Delta,1,2,2,3,Delta Montrose Technical College,38.702524,41,-108.031072,-2,1,7,10,7,CO,126915,81416
11194 E 45th Ave,Denver,3,2,4,2,Lincoln College of Technology-Denver,39.77651,11,-104.856171,-2,1,7,9,6,CO,126951,80239
1250 Welton Street,Denver,1,2,2,3,Emily Griffith Technical College,39.741034,11,-104.995303,-2,1,7,34,7,CO,127158,80204-2197
51241 Hwy 6 and 24 Ste 1,Glenwood Springs,3,2,4,2,Glenwood Beauty Academy,39.561947,33,-107.359099,-2,1,7,4,6,CO,127219,81601
6464 S College,Fort Collins,3,2,4,2,Hair Dynamics Education Center,40.497241,12,-105.076492,-2,1,7,4,6,CO,127228,80525
5707 N Academy Blvd,Colorado Springs,3,2,4,2,International Salon and Spa Academy,38.913621,11,-104.786252,-2,1,7,5,6,CO,127316,80918-3684
"6805 Corporate Drive, Suite 100",Colorado Springs,3,2,3,2,Intellitec Medical Institute,38.93097,11,-104.814201,-2,1,7,9,6,CO,127839,80919
4745 Walnut Street,Boulder,2,2,6,1,Montessori Education Center of the Rockies,39.96504,13,-105.25311,-2,1,7,3,2,CO,127954,80301
2315 East Pikes Peak Avenue,Colorado Springs,3,2,3,2,Intellitec College-Colorado Springs,38.832183,11,-104.78721,-2,1,7,8,6,CO,128179,80909-6096
772 Horizon Dr,Grand Junction,3,2,3,2,Intellitec College-Grand Junction,39.116346,13,-108.53062,-2,1,7,7,6,CO,128188,81506
3811 E 120th Ave,Thornton,3,2,4,2,Empire Beauty School-Thornton,39.914863,21,-104.943533,-2,1,7,1,6,CO,128337,80233
2 National Place,Danbury,3,2,2,3,Paul Mitchell the School-Danbury,41.39648,13,-73.451841,-2,1,1,1,9,CT,128540,6810
1 Summit Place,Branford,3,2,1,3,Branford Hall Career Institute-Branford Campus,41.278557,21,-72.848201,-2,1,1,6,9,CT,128674,06405-4103
1231 E Main St,Meriden,3,2,2,3,Marinello Schools of Beauty-Meriden,41.524385,21,-72.763231,-2,1,1,2,9,CT,130129,06450-4836
560 Saw Mill Road,West Haven,3,2,2,3,Stone Academy-Hamden,41.26774,21,-72.977151,-2,1,1,5,9,CT,130509,6516
"3700 Lancaster Pike, Suite 105",Wilmington,3,2,1,3,Dawn Career Institute Inc,39.754694,21,-75.594268,-2,1,2,11,9,DE,130873,19805-1511
211 Louviers Drive,Newark,3,2,2,3,Schilling-Douglas School of Hair Design,39.711223,21,-75.74195,-2,1,2,5,9,DE,131061,19711
6565 Arlington Boulevard,Falls Church,3,2,3,2,Medtech Institute,38.86972,21,-77.171071,-2,1,5,6,6,VA,131742,22042
470 Destination Daytona Ln,Ormond Beach,3,2,3,2,Wyotech-Daytona,29.349365,41,-81.133086,-2,1,5,2,6,FL,132268,32174
4700 Coconut Creek Parkway,Coconut Creek,1,2,4,2,Atlantic Technical Center,26.243609,21,-80.185311,-2,1,5,36,4,FL,132374,33063-3902
"4212 Cortez Rd, West",Bradenton,3,2,2,3,GUTI The Premier Beauty & Wellness Academy,27.46281,13,-82.602211,-2,1,5,7,9,FL,132666,34210
609 N Orange St,Starke,1,2,4,2,Bradford-Union Technical Center,29.952134,32,-82.123082,-2,1,5,11,4,FL,132675,32091
3702 Estey Ave,Naples,1,2,4,2,Lorenzo Walker Institute of Technology,26.141199,21,-81.763355,-2,1,5,30,4,FL,133155,34104-4405
7259 Salisbury Road,Jacksonville,3,2,3,2,Concorde Career Institute-Jacksonville,30.238877,11,-81.58262,-2,1,5,9,6,FL,133845,32256-6905
10933 Marks Way,Miramar,3,2,3,2,Concorde Career Institute-Miramar,26.175119,21,-80.203007,-2,1,5,10,6,FL,133854,33025
4202 W Spruce,Tampa,3,2,3,2,Concorde Career Institute-Tampa,27.959058,11,-82.515082,-2,1,5,8,6,FL,133863,33607-4127
8800 University Pky Ste A4,Pensacola,3,2,4,2,Florida Institute of Ultrasound Inc,30.534939,13,-87.220615,-2,1,5,1,6,FL,133942,32514
6421 SW 13th St,Gainesville,3,2,1,3,Florida School of Massage,29.593484,41,-82.338528,-2,1,5,1,9,FL,134024,32608-5419
901 34th St S,Saint Petersburg,1,2,4,2,Pinellas Technical Education Center-St Petersburg,27.761183,12,-82.681534,-2,1,5,31,4,FL,137087,33711-2209
4748 Beneva Rd,Sarasota,1,2,2,3,Sarasota County Technical Institute,27.285486,21,-82.500827,-2,1,5,39,7,FL,137120,34233-1798
5400 Sheridan St,Hollywood,1,2,4,2,Sheridan Technical Center,26.031736,21,-80.198024,-2,1,5,54,4,FL,137245,33021
7027 US Hwy 19,New Port Richey,3,2,2,3,Benes International School of Beauty,28.261074,21,-82.72846,-2,1,5,10,9,FL,137591,34652
415 SW Pinewood Dr,Live Oak,1,2,2,3,Suwannee-Hamilton Technical Center,30.2839,33,-82.991356,-2,1,5,15,7,FL,137713,32064
12900 Challenger Parkway,Orlando,3,2,5,1,Florida Technical College,28.57316,21,-81.196091,-2,1,5,38,3,FL,134112,32826
