Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
17843,26282,26282,17843,26282,26282,32559,40998,40998,4683,1,72,4090,89,4580,4585,5,18,6498,166629,166629
15106,24156,,15106,24156,,30570,39620,,1313,1,38,908,77,1172,1172,0,15,3434,166638,166638
13614,19480,,13614,19480,,18558,24424,,656,1,35,408,58,708,708,0,17,1851,166647,166647
35015,46179,46179,35015,46179,46179,35015,46179,46179,912,1,81,809,89,910,910,0,25,1129,166656,166656
17900,26500,26500,17900,26500,26500,36100,44700,44700,366,1,51,297,84,352,352,0,10,717,166674,166674
46276,,59020,46276,,59020,46276,,59020,1115,1,97,1108,98,1132,1135,3,8,1147,166683,166683
9927,17427,22073,9927,17427,22073,24833,32333,36979,332,1,87,255,85,300,300,0,16,382,166692,166692
11806,17206,,11806,17206,,16750,22150,,1281,1,44,746,62,1213,1213,0,18,2942,166823,166823
37535,49685,49685,37535,49685,49685,37535,49685,49685,794,1,87,567,81,698,698,0,13,908,166850,166850
7324,16589,,7324,16589,,12258,21523,,1118,1,34,739,63,1173,1174,1,23,3250,166887,166887
31870,41170,39670,31870,41170,39670,31870,41170,39670,102,1,84,68,70,97,97,0,12,122,166911,166911
45756,54296,55496,45756,54296,55496,45756,54296,55496,511,1,87,441,89,496,496,0,10,590,166939,166939
32645,41045,44945,32645,41045,44945,32645,41045,44945,307,1,71,148,52,285,285,0,14,430,166948,166948
9800,17200,,9800,17200,,14720,22120,,596,1,37,350,55,636,637,1,15,1602,166957,166957
48318,53863,56253,48318,53863,56253,48318,53863,56253,60,1,53,59,72,82,82,0,9,114,166984,166984
43275,55870,55870,43275,55870,55870,43275,55870,55870,93,1,85,93,94,99,99,0,5,110,167057,167057
34900,48980,,34900,48980,,34900,48980,,,1,,18,75,24,24,0,9,,167224,167224
35440,43440,44550,35440,43440,44550,35440,43440,44550,267,1,86,150,56,268,268,0,14,310,167251,167251
38570,42440,46690,38570,42440,46690,38570,42440,46690,379,1,85,229,69,330,330,0,17,444,167260,167260
12541,21363,21363,12541,21363,21363,21486,30308,30308,271,1,62,242,79,308,308,0,13,440,167288,167288
7956,19956,,7956,19956,,13524,25524,,936,1,42,610,64,950,950,0,17,2232,167312,167312
28444,31948,40444,28444,31948,40444,28444,31948,40444,135,1,63,70,51,137,139,2,12,214,167321,167321
44486,58096,58096,44486,58096,58096,44486,58096,58096,2891,1,81,2544,96,2663,2664,1,13,3560,167358,167358
8954,18350,,8954,18350,,14738,24134,,827,1,37,521,62,835,835,0,21,2265,167376,167376
34182,43497,44612,34182,43497,44612,34182,43497,44612,187,1,41,155,80,194,194,0,13,459,167394,167394
29330,38230,40870,29330,38230,40870,29330,38230,40870,52,1,33,48,62,77,77,0,10,158,167455,167455
11382,23382,,11382,23382,,11382,23382,,366,1,20,244,63,387,387,0,18,1870,167525,167525
8550,16956,,8550,16956,,13494,21900,,1007,1,36,659,56,1178,1185,7,18,2808,167534,167534
40045,51630,50630,40045,51630,50630,40045,51630,50630,266,1,82,213,77,276,276,0,13,324,167598,167598
5362,12162,,5362,12162,,10666,17466,,226,1,34,125,48,262,262,0,14,667,167631,167631
20450,28700,28700,20450,28700,28700,20450,28700,28700,,1,,0,,0,0,0,7,,167677,167677
13584,22372,22084,13584,22372,22084,19724,28512,28224,1074,1,51,848,78,1086,1086,0,15,2107,167729,167729
40570,52610,52610,40570,52610,52610,40570,52610,52610,338,1,83,345,86,400,401,1,10,409,167783,167783
48713,61403,61403,48713,61403,61403,48713,61403,61403,144,1,97,98,68,145,145,0,6,148,167792,167792
50432,,60167,50432,,60167,50432,,60167,643,1,88,610,94,651,651,0,9,728,167835,167835
,,,,,,,,,,1,,15,88,17,17,0,9,,167871,167871
35560,46480,46480,35560,46480,46480,35560,46480,46480,510,1,86,456,84,541,541,0,13,596,167899,167899
10050,21120,,10050,21120,,16560,27630,,947,1,41,521,61,855,855,0,17,2314,167905,167905
16447,24947,25355,16447,24947,25355,28922,37422,37830,1498,1,66,1174,76,1543,1547,4,18,2256,167987,167987
40878,46698,52370,40878,46698,52370,40878,46698,52370,610,1,94,706,87,814,814,0,12,648,167996,167996
37785,50196,49979,37785,50196,49979,37785,50196,49979,1159,1,72,935,75,1239,1239,0,11,1603,168005,168005
48818,53600,61000,48818,53600,61000,48818,53600,61000,1307,1,94,1259,96,1306,1306,0,9,1393,168148,168148
47404,47404,59092,47404,47404,59092,47404,47404,59092,590,1,87,565,97,585,585,0,7,680,168218,168218
39690,49776,46750,39690,49776,46750,39690,49776,46750,877,1,75,809,79,1026,1026,0,17,1169,168227,168227
37790,47290,48890,37790,47290,48890,37790,47290,48890,689,1,87,597,75,793,793,0,13,794,168254,168254
12456,21296,21296,12456,21296,21296,18536,27376,27376,1285,1,70,783,79,990,993,3,17,1845,168263,168263
48574,58574,58574,48574,58574,58574,48574,58574,58574,458,1,95,400,86,466,466,0,11,484,168281,168281
35660,47870,47870,35660,47870,47870,35660,47870,47870,215,1,74,131,66,198,198,0,11,291,168290,168290
,,61850,,,61850,,,61850,544,1,93,536,98,547,547,0,7,587,168342,168342
46478,57628,58060,46478,57628,58060,46478,57628,58060,1103,1,93,909,96,948,948,0,14,1186,168421,168421
12341,17741,22718,12341,17741,22718,18421,23821,28798,775,1,55,627,80,781,781,0,18,1421,168430,168430
33380,38330,42740,33380,38330,42740,33380,38330,42740,458,1,69,344,58,592,592,0,13,664,168528,168528
38051,48195,48195,38051,48195,48195,38051,48195,48195,346,1,88,290,81,360,360,0,11,391,168546,168546
35022,44287,44287,35022,44287,44287,35022,44287,44287,378,1,85,343,79,435,435,0,12,444,168591,168591
6270,11770,,8190,13690,,8190,13690,,316,1,46,212,58,367,367,0,14,683,168607,168607
27570,37884,35538,27570,37884,35538,27570,37884,35538,307,1,53,301,79,383,383,0,9,581,168740,168740
30480,36138,38012,30480,36138,38012,30480,36138,38012,390,1,78,342,76,451,452,1,13,497,168786,168786
14700,21900,20100,14700,21900,20100,14700,21900,20100,549,1,65,28,58,48,48,0,18,844,168838,168838
14700,21900,20100,14700,21900,20100,14700,21900,20100,672,1,50,52,51,101,101,0,16,1339,168847,168847
10770,16300,16300,13653,19183,19183,17745,23275,23275,304,1,40,251,61,413,413,0,18,768,168883,168883
32640,41195,41195,32640,41195,41195,32640,41195,41195,1006,1,87,854,87,977,977,0,12,1155,169080,169080
14550,22522,,14550,22522,,14550,22522,,,1,,27,87,31,31,0,10,,169187,169187
13960,20460,22004,13960,20460,22004,26410,32910,34454,2964,1,62,2572,77,3353,3353,0,21,4749,169248,169248
7791,17268,,9080,18557,,10810,20287,,301,1,21,158,57,279,279,0,20,1448,169275,169275
21048,28716,,21048,28716,,21048,28716,,43,1,36,13,43,30,30,0,12,119,169327,169327
27063,,35693,27063,,35693,27063,,35693,184,1,64,94,62,152,152,0,10,287,169363,169363
42010,50110,50110,42010,50110,50110,42010,50110,50110,218,1,55,193,78,247,247,0,9,399,169442,169442
19960,28652,26872,19960,28652,26872,19960,28652,26872,451,1,29,209,79,265,265,0,17,1557,169479,169479
7424,11504,,9029,13109,,13019,17099,,891,1,35,667,75,893,893,0,16,2541,169521,169521
17618,25493,,17618,25493,,17618,25493,,242,1,71,145,74,197,197,0,9,340,169655,169655
43730,54702,52400,43730,54702,52400,43730,54702,52400,491,1,69,395,82,479,479,0,13,711,169716,169716
21024,32382,,21024,32382,,21024,32382,,,1,,11,73,15,15,0,20,,169734,169734
21024,32382,,21024,32382,,21024,32382,,,1,,15,54,28,28,0,27,,169761,169761
13522,20162,20756,13522,20162,20756,29067,35707,36301,2848,1,55,1928,74,2612,2612,0,18,5196,169798,169798
13744,21878,21878,13744,21878,21878,20000,28134,28134,1982,1,46,591,77,771,771,0,16,4336,169910,169910
,,,,,,,,,,1,,14,88,16,16,0,17,,169947,169947
8196,13666,,9588,15058,,10356,15826,,166,1,52,99,58,172,172,0,16,322,169974,169974
43414,51277,51277,43414,51277,51277,43414,51277,51277,375,1,83,342,92,372,372,0,13,452,169983,169983
8614,15590,14418,9792,16768,15596,10753,17729,16557,262,1,51,138,64,215,215,0,15,513,169992,169992
15437,21872,21949,15437,21872,21949,15437,21872,21949,116,1,47,67,66,102,102,0,11,245,170000,170000
28012,35922,35922,28012,35922,35922,28012,35922,35922,356,1,70,255,76,335,335,0,20,508,170037,170037
6260,10388,,9104,13232,,11672,15800,,1893,1,37,1122,57,1971,1971,0,21,5167,170055,170055
16566,22432,22432,16566,22432,22432,21238,27104,27104,4063,1,69,3217,82,3940,3940,0,17,5860,170082,170082
19500,30550,25705,19500,30550,25705,19500,30550,25705,39,1,51,12,39,31,31,0,11,76,170091,170091
5436,13815,,6876,15255,,6996,15375,,1564,1,40,954,42,2275,2275,0,24,3864,170240,170240
31660,34330,40050,31660,34330,40050,31660,34330,40050,811,1,84,797,88,902,903,1,13,964,170301,170301
22431,29926,,22431,29926,,22431,29926,,51,1,78,0,,0,0,0,15,65,170417,170417
8060,15244,15244,9260,16444,16444,10580,17764,17764,830,1,43,437,57,770,770,0,18,1936,170444,170444
,,50800,,,50800,,,50800,453,1,90,307,92,334,334,0,14,506,170532,170532
5920,10048,,7873,12001,,9516,13644,,1040,1,31,630,56,1118,1118,0,23,3323,170541,170541
7545,13015,,9292,14762,,11253,16723,,297,1,23,173,54,319,319,0,21,1282,170550,170550
9587,16345,,10727,17485,,13337,20095,,148,1,37,78,53,146,146,0,18,402,170587,170587
8580,14430,,10005,15855,,11355,17205,,392,1,40,235,51,459,459,0,15,985,170620,170620
13060,20303,21788,13060,20303,21788,17980,25223,26708,398,1,55,317,75,424,424,0,16,718,170639,170639
10480,17580,,12970,20070,,15460,22560,,1787,1,41,1023,59,1740,1740,0,14,4340,170657,170657
34379,43061,43061,34379,43061,43061,34379,43061,43061,353,1,25,265,82,324,324,0,11,1434,170675,170675
11191,12621,,12648,14078,,13888,15318,,681,1,16,439,62,708,708,0,27,4158,170790,170790
20504,28704,27944,20504,28704,27944,20504,28704,27944,198,1,23,117,82,143,143,0,11,875,170806,170806
23450,31450,30730,23450,31450,30730,23450,31450,30730,170,1,47,87,67,130,130,0,11,364,170842,170842
23082,27210,28890,23082,27210,28890,23082,27210,28890,150,1,42,77,57,134,134,0,11,356,170967,170967
18384,26240,26240,18384,26240,26240,45634,53490,53490,6176,1,86,5933,97,6124,6124,0,12,7191,170976,170976
15792,24648,24648,15792,24648,24648,36680,45536,45536,7924,1,80,7438,91,8218,8218,0,17,9849,171100,171100
17200,26375,26375,17200,26375,26375,32080,41255,41255,1252,1,84,946,82,1151,1151,0,13,1492,171128,171128
15260,23100,,15260,23100,,27770,35610,,908,1,46,706,84,840,840,0,17,1966,171137,171137
14319,23026,23026,14319,23026,23026,23201,31908,31908,665,1,36,469,80,587,587,0,16,1829,171146,171146
7403,13113,,9659,15369,,13523,19233,,432,1,24,255,54,476,476,0,26,1814,171155,171155
6313,13468,,8293,15448,,8833,15988,,258,1,24,137,51,271,272,1,24,1060,171225,171225
6567,19219,,8967,21619,,11457,24109,,96,1,14,74,52,141,141,0,17,687,171234,171234
14700,21900,20100,14700,21900,20100,14700,21900,20100,660,1,57,26,53,49,49,0,24,1152,171298,171298
6425,10925,,8540,13040,,10340,14840,,491,1,32,218,60,364,364,0,17,1557,171304,171304
6783,12983,12583,8486,14686,14286,9738,15938,15538,254,1,29,155,63,247,247,0,16,884,171395,171395
11577,20273,20273,11577,20273,20273,16653,25349,25349,1642,1,73,865,72,1198,1200,2,22,2251,171456,171456
7224,17524,16274,9593,19893,18643,10936,21236,19986,572,1,45,0,,0,0,0,18,1263,171483,171483
26816,35818,35028,26816,35818,35028,26816,35818,35028,298,1,32,269,83,323,323,0,11,929,171492,171492
5797,12497,,7678,14378,,9361,16061,,1179,1,22,619,48,1294,1294,0,26,5476,171535,171535
15841,22887,21751,15841,22887,21751,29101,36147,35011,2453,1,51,1845,78,2361,2361,0,22,4838,171571,171571
26781,34181,34181,26781,34181,34181,26781,34181,34181,279,1,65,189,64,297,298,1,18,426,171599,171599
23367,27483,27970,23367,27483,27970,23367,27483,27970,37,1,45,52,79,66,66,0,11,83,171881,171881
20553,32487,31767,20553,32487,31767,20553,32487,31767,1,1,2,2,100,2,2,0,5,56,172033,172033
12809,21255,19181,12809,21255,19181,24162,32608,30534,1582,1,65,1152,70,1635,1635,0,20,2420,172051,172051
7928,14593,,9158,15823,,11078,17743,,1074,1,19,514,58,885,885,0,28,5694,172200,172200
24404,34014,34014,24404,34014,34014,24404,34014,34014,300,1,35,162,59,274,274,0,12,868,172264,172264
6672,12382,,9493,15203,,12128,17838,,525,1,32,347,59,585,585,0,19,1638,172291,172291
8261,16101,16101,9253,17093,17093,9640,17480,17480,615,1,63,284,56,510,511,1,18,981,172307,172307
25876,34046,34046,25876,34046,34046,25876,34046,34046,367,1,39,237,76,313,313,0,12,932,172334,172334
21496,39001,22458,21496,39001,22458,29896,47401,30858,,1,,85,83,103,103,0,11,,172422,172422
25580,33880,32220,25580,33880,32220,25580,33880,32220,105,1,56,50,57,87,87,0,10,188,172440,172440
6862,13718,,8182,15038,,9310,16166,,777,1,26,499,64,783,783,0,19,2951,172617,172617
7232,11824,,7496,12088,,8216,12808,,1225,1,15,504,41,1236,1236,0,24,8323,172635,172635
17091,26408,23586,17091,26408,23586,29711,39028,36206,2075,1,47,1669,77,2169,2172,3,15,4389,172644,172644
6117,11517,,7773,13173,,8973,14373,,155,1,50,116,70,165,165,0,16,310,172671,172671
15137,22145,22250,15137,22145,22250,28891,35899,36004,3158,1,61,2201,74,2986,2989,3,18,5148,172699,172699
22965,30165,,22965,30165,,22965,30165,,9,1,26,0,,0,0,0,8,35,172866,172866
13685,18885,,13685,18885,,13685,18885,,508,1,37,432,76,570,570,0,25,1387,172918,172918
12190,22546,,12190,22546,,12190,22546,,214,1,24,100,48,208,208,0,21,896,172954,172954
13719,20523,,13719,20523,,13719,20523,,783,1,20,462,53,880,880,0,31,3906,172963,172963
38479,47093,45465,38479,47093,45465,38479,47093,45465,463,1,60,310,82,380,380,0,12,778,173045,173045
10422,16197,,10422,16197,,10422,16197,,372,1,30,259,59,436,436,0,22,1231,173063,173063
9382,16638,,9382,16638,,9382,16638,,77,1,13,45,56,81,81,0,17,581,173115,173115
11686,18940,18940,11686,18940,18940,11686,18940,18940,816,1,50,502,67,747,747,0,23,1623,173124,173124
26880,34150,34150,26880,34150,34150,26880,34150,34150,146,1,73,98,72,136,136,0,10,200,173142,173142
36990,44590,44300,36990,44590,44300,36990,44590,44300,610,1,64,489,85,575,575,0,12,947,173160,173160
10493,16393,,10493,16393,,10493,16393,,557,1,29,318,58,545,545,0,26,1918,173203,173203
,,60425,,,60425,,,60425,527,1,98,507,96,528,528,0,9,539,173258,173258
35804,43394,42964,35804,43394,42964,35804,43394,42964,684,1,87,534,84,632,632,0,11,783,173300,173300
23100,30850,30850,23100,30850,30850,23100,30850,30850,282,1,25,131,73,180,181,1,16,1123,173328,173328
12305,19775,,12305,19775,,12305,19775,,325,1,29,235,64,365,365,0,21,1126,173416,173416
16700,21560,21560,16700,21560,21560,16700,21560,21560,164,1,82,152,85,179,179,0,12,199,173452,173452
12788,18511,,12788,18511,,17205,22928,,442,1,20,219,53,410,410,0,24,2173,173461,173461
21653,33065,,21653,33065,,21653,33065,,6,1,14,1,100,1,1,0,7,42,173489,173489
10098,16822,14898,10098,16822,14898,10098,16822,14898,808,1,31,425,56,759,759,0,22,2648,173559,173559
22302,27450,,22302,27450,,22302,27450,,65,1,23,6,30,20,20,0,12,281,173629,173629
11768,16216,16216,11768,16216,16216,16915,21363,21363,287,1,22,210,65,325,325,0,19,1296,173638,173638
41060,50110,50110,41060,50110,50110,41060,50110,50110,610,1,82,614,92,667,678,11,11,741,173647,173647
37308,46398,46398,37308,46398,46398,37308,46398,46398,536,1,74,439,81,540,541,1,13,729,173665,173665
10998,22456,,10998,22456,,10998,22456,,374,1,18,270,71,382,382,0,21,2089,173708,173708
10018,16093,16093,10018,16093,16093,11200,17275,17275,239,1,37,114,52,218,218,0,17,648,173735,173735
12804,19788,,12804,19788,,12804,19788,,468,1,21,273,59,461,461,0,24,2237,173799,173799
9867,18037,15633,9867,18037,15633,11049,19219,16815,232,1,44,166,59,282,282,0,22,522,173805,173805
27100,30604,33613,27100,30604,33613,27100,30604,33613,168,1,44,79,47,168,168,0,16,378,173887,173887
,,57478,,,57478,,,57478,555,1,97,508,95,534,534,0,10,574,173902,173902
10620,17620,,10620,17620,,10620,17620,,404,1,35,256,60,424,424,0,19,1151,173911,173911
11155,17093,17562,11155,17093,17562,18634,24572,25041,2436,1,58,1692,74,2298,2298,0,24,4214,173920,173920
21935,25063,,21935,25063,,21935,25063,,27,1,8,1,33,3,3,0,8,332,173984,173984
7193,14125,,7193,14125,,8148,15080,,206,1,32,155,64,244,244,0,24,640,173993,173993
14546,25930,,14546,25930,,21131,32515,,64,1,3,41,61,67,67,0,17,2130,174020,174020
16749,25281,25281,16749,25281,25281,22999,31531,31531,5538,1,52,4963,90,5501,5501,0,17,10550,174066,174066
15048,22722,22722,15048,22722,22722,15048,22722,22722,200,1,18,161,69,233,233,0,19,1103,174075,174075
16140,23140,23140,16140,23140,23140,16140,23140,23140,115,1,56,144,84,172,172,0,30,204,174118,174118
36930,43560,43560,36930,43560,43560,36930,43560,43560,115,1,52,82,70,117,117,0,15,223,174127,174127
10870,23443,,10870,23443,,10870,23443,,662,1,21,390,52,749,749,0,24,3126,174136,174136
15560,26099,,15560,26099,,15560,26099,,6,1,25,1,33,3,3,0,10,24,174154,174154
19680,28460,26410,19680,28460,26410,19680,28460,26410,11,1,38,13,62,21,21,0,6,29,174206,174206
16399,23355,23355,16399,23355,23355,20064,27020,27020,2050,1,63,1408,75,1875,1875,0,18,3264,174233,174233
15724,23206,23206,15724,23206,23206,15724,23206,23206,468,1,73,358,87,411,411,0,13,643,174251,174251
22302,27450,,22302,27450,,22302,27450,,41,1,17,8,62,13,13,0,14,243,174279,174279
11868,19000,19000,11868,19000,19000,18766,25898,25898,944,1,53,712,68,1052,1052,0,18,1778,174358,174358
16198,25111,,16198,25111,,16198,25111,,417,1,16,243,57,423,423,0,25,2559,174376,174376
16038,21546,,16038,21546,,16038,21546,,,1,,2,50,4,4,0,15,,174385,174385
19627,27243,,19627,27243,,19627,27243,,15,1,44,1,33,3,3,0,6,34,174394,174394
14991,22049,,14991,22049,,14991,22049,,859,1,22,498,55,899,899,0,25,3820,174428,174428
27188,30249,30248,27188,30249,30248,27188,30249,30248,246,1,52,196,73,269,269,0,16,471,174437,174437
11117,17117,,11117,17117,,11117,17117,,422,1,29,253,54,467,467,0,22,1432,174473,174473
32540,36540,40120,32540,36540,40120,32540,36540,40120,464,1,37,356,79,451,451,0,18,1257,174491,174491
18590,26590,,18590,26590,,18590,26590,,9,1,9,0,,0,0,0,5,99,174507,174507
22975,27130,26325,22975,27130,26325,22975,27130,26325,28,1,54,17,63,27,27,0,15,52,174525,174525
10203,18267,,10203,18267,,13879,21943,,46,1,9,26,43,61,61,0,17,537,174570,174570
9723,14923,14923,9723,14923,14923,10905,16105,16105,60,1,39,40,49,82,82,0,23,152,174604,174604
14908,22108,,14908,22108,,14908,22108,,768,1,38,422,54,777,777,0,22,2041,174738,174738
40326,49970,49970,40326,49970,49970,40326,49970,49970,538,1,93,435,89,490,490,0,12,581,174747,174747
8301,14561,,8301,14561,,8301,14561,,524,1,25,292,59,497,497,0,22,2057,174756,174756
11766,19002,19002,11766,19002,19002,19408,26644,26644,1659,1,30,1303,71,1842,1842,0,23,5558,174783,174783
39562,48546,48546,39562,48546,48546,39562,48546,48546,497,1,94,384,86,449,449,0,12,526,174792,174792
36615,39750,39750,36615,39750,39750,36615,39750,39750,307,1,57,259,79,328,328,0,16,538,174817,174817
42600,51860,51860,42600,51860,51860,42600,51860,51860,752,1,93,808,94,864,864,0,12,806,174844,174844
28320,35800,35080,28320,35800,35080,28320,35800,35080,198,1,66,119,70,171,171,0,17,300,174862,174862
34810,42752,43008,34810,42752,43008,34810,42752,43008,431,1,47,399,84,477,477,0,15,916,174899,174899
39414,48400,48400,39414,48400,48400,39414,48400,48400,1368,1,82,1266,88,1446,1447,1,15,1664,174914,174914
38444,47012,47012,38444,47012,47012,38444,47012,47012,419,1,39,316,79,402,402,0,11,1065,175005,175005
16767,24390,,16767,24390,,16767,24390,,161,1,10,11,65,17,17,0,16,1549,175014,175014
13018,22244,,13018,22244,,13018,22244,,699,1,27,345,51,677,677,0,25,2595,175041,175041
12430,19576,19576,12430,19576,19576,12430,19576,19576,445,1,12,322,67,478,478,0,26,3626,175078,175078
8295,15319,15319,8295,15319,15319,9477,16501,16501,162,1,48,87,49,178,178,0,24,341,175157,175157
25598,35198,,25598,35198,,25598,35198,,192,1,45,1,50,2,2,0,10,428,175227,175227
9610,15428,,9610,15428,,9610,15428,,605,1,41,393,63,626,626,0,21,1459,175236,175236
14512,21118,,14512,21118,,14512,21118,,206,1,26,152,56,270,270,0,17,800,175263,175263
14090,20790,20790,14090,20790,20790,19590,26290,26290,1630,1,70,1382,78,1765,1765,0,20,2344,175272,175272
9898,17040,,9898,17040,,9898,17040,,812,1,25,480,49,981,981,0,25,3195,175315,175315
14010,22440,20984,14010,22440,20984,14010,22440,20984,545,1,75,385,68,563,563,0,17,726,175342,175342
27272,37376,34472,27272,37376,34472,27272,37376,34472,217,1,22,132,60,220,220,0,12,969,175421,175421
13470,19370,17550,13470,19370,17550,13470,19370,17550,81,1,41,49,70,70,70,0,13,198,175430,175430
5540,11540,8460,5540,11540,8460,6540,12540,9460,457,1,68,237,50,476,476,0,25,672,175519,175519
22058,27670,,22058,27670,,22058,27670,,44,1,50,22,58,38,38,0,14,88,175528,175528
6950,11310,7650,6950,11310,7650,8950,13310,9650,655,1,56,442,58,760,760,0,19,1163,175573,175573
18887,18887,18887,18887,18887,18887,18887,18887,18887,381,1,45,252,66,381,381,0,18,853,175616,175616
6970,12230,10460,6970,12230,10460,9070,14330,12560,717,1,57,438,62,707,707,0,23,1268,175643,175643
7925,14621,11765,7925,14621,11765,10125,16821,13965,733,1,33,532,71,748,748,0,14,2234,175652,175652
5710,11110,8710,5710,11110,8710,8310,13710,11310,2745,1,60,1501,52,2908,2908,0,19,4600,175786,175786
7588,11188,10258,7588,11188,10258,10168,13768,12838,1068,1,44,617,55,1130,1130,0,18,2416,175810,175810
8470,14300,10480,8470,14300,10480,10670,16500,12680,1436,1,50,942,69,1372,1372,0,19,2867,175829,175829
13748,19848,20640,13748,19848,20640,22952,29052,29844,1095,1,59,651,76,862,862,0,15,1843,175856,175856
9072,13142,11610,9072,13142,11610,11072,15142,13610,1237,1,65,644,60,1071,1071,0,24,1915,175883,175883
8210,14150,10160,8210,14150,10160,9490,15430,11440,483,1,26,403,56,721,721,0,22,1875,175935,175935
35452,46680,46680,35452,46680,46680,35452,46680,46680,171,1,86,158,75,210,210,0,8,198,175980,175980
5750,8850,8490,5750,8850,8490,7358,10458,10098,688,1,59,430,58,744,744,0,18,1161,176008,176008
12878,22444,22444,12878,22444,22444,23846,33412,33412,3564,1,71,2867,86,3350,3351,1,19,5021,176017,176017
10640,16540,16823,10640,16540,16823,20360,26260,26543,182,1,23,144,79,182,182,0,13,781,176035,176035
11716,18552,18552,11716,18552,18552,11716,18552,18552,459,1,62,206,53,389,389,0,13,742,176044,176044
21075,28401,27611,21075,28401,27611,21075,28401,27611,588,1,64,318,68,465,465,0,15,924,176053,176053
8002,17002,9612,8002,17002,9612,9848,18848,11458,2085,1,58,1199,62,1927,1927,0,24,3582,176071,176071
13023,21670,21670,13023,21670,21670,23211,31858,31858,3149,1,67,2261,79,2880,2887,7,19,4690,176080,176080
10485,14523,10187,10485,14523,10187,12735,16773,12437,1030,1,75,674,64,1053,1053,0,20,1366,176169,176169
7858,17866,7332,7858,17866,7332,10058,20066,9532,1761,1,62,1092,60,1819,1819,0,25,2842,176178,176178
3630,6580,7780,3630,6580,7780,6028,8978,10178,948,1,52,1026,57,1802,1833,31,16,1838,176239,176239
13400,16200,15400,13400,16200,15400,13400,16200,15400,267,1,86,170,63,271,271,0,18,311,176318,176318
6340,7940,9390,6340,7940,9390,6340,7940,9390,7,1,78,2,100,2,4,2,6,9,176336,176336
7750,13150,10060,7750,13150,10060,10450,15850,12760,646,1,75,372,57,655,655,0,24,866,176354,176354
13688,22752,19894,13688,22752,19894,21968,31032,28174,1726,1,51,1368,72,1910,1916,6,17,3408,176372,176372
14427,20227,20757,14427,20227,20757,14427,20227,20757,153,1,71,170,70,243,243,0,10,214,176406,176406
19910,25500,25500,19910,25500,25500,19910,25500,25500,179,1,28,134,77,173,173,0,13,650,176479,176479
18557,34057,,18557,34057,,18557,34057,,,1,,53,74,72,72,0,19,,176549,176549
31066,38388,36414,31066,38388,36414,31066,38388,36414,182,1,50,147,70,210,210,0,14,363,176628,176628
22431,29926,,22431,29926,,22431,29926,,96,1,77,0,,0,0,0,19,124,176637,176637
16730,16730,17630,16730,16730,17630,16730,16730,17630,55,1,69,33,65,51,51,0,15,80,176664,176664
14118,25444,,14118,25444,,14118,25444,,7,1,3,49,89,55,55,0,11,221,176770,176770
15556,21736,18556,15556,21736,18556,15556,21736,18556,37,1,35,21,66,32,32,0,8,105,176789,176789
21673,34054,23695,21673,34054,23695,21673,34054,23695,49,1,49,33,70,47,47,0,15,99,176910,176910
26050,32970,32970,26050,32970,32970,26050,32970,32970,291,1,69,173,57,302,302,0,14,422,176947,176947
10665,19015,18799,10665,19015,18799,17059,25409,25193,1746,1,52,1213,69,1762,1762,0,17,3387,176965,176965
,,,,,,,,,,1,,46,87,53,53,0,3,,176983,176983
22443,41789,,22443,41789,,22443,41789,,,1,,1,100,1,1,0,11,,177038,177038
,,,,,,,,,,1,,2,100,2,2,0,6,,177056,177056
15579,22307,21833,15579,22307,21833,15579,22307,21833,671,1,25,239,53,450,450,0,35,2666,177065,177065
,,31890,,,31890,,,31890,19,1,46,9,64,14,14,0,4,41,177083,177083
22350,25300,27850,22350,25300,27850,22350,25300,27850,124,1,93,100,79,127,127,0,7,134,177117,177117
6144,12843,9727,6840,13539,10423,6840,13539,10423,967,1,38,470,56,836,837,1,15,2529,177135,177135
28858,36788,34952,28858,36788,34952,28858,36788,34952,220,1,71,144,67,216,216,0,13,312,177144,177144
26695,32985,34719,26695,32985,34719,26695,32985,34719,433,1,46,407,84,482,482,0,19,939,177214,177214
9331,18320,,10075,19064,,11371,20360,,624,1,44,391,62,630,631,1,19,1427,177250,177250
18530,25766,,18530,25766,,18530,25766,,338,1,63,231,70,332,332,0,23,534,177302,177302
25601,30291,32183,25601,30291,32183,25601,30291,32183,458,1,80,277,73,381,381,0,15,576,177339,177339
29296,34896,33896,29296,34896,33896,29296,34896,33896,157,1,40,108,79,136,136,0,10,394,177418,177418
19480,24280,,19480,24280,,19480,24280,,,1,,24,73,33,33,0,9,,177436,177436
6648,14513,,7560,15425,,8544,16409,,2255,1,47,1344,59,2273,2273,0,23,4783,177472,177472
23816,31648,29258,23816,31648,29258,23816,31648,29258,192,1,33,119,62,191,191,0,12,587,177542,177542
10220,16788,20120,10220,16788,20120,14853,21421,24753,182,1,51,125,43,290,290,0,13,360,177551,177551
17932,22932,24784,17932,22932,24784,17932,22932,24784,92,1,70,0,,0,0,0,17,132,177579,177579
7418,14321,10796,8570,15473,11948,9698,16601,13076,933,1,61,557,59,949,950,1,19,1533,177676,177676
40712,45712,50362,40712,45712,50362,40712,45712,50362,141,1,95,127,74,172,172,0,10,149,177746,177746
