name_x,czname_x,public,iclevel,tier,tier_name,avgfacsal_2013,exp_instr_pc_2013,k_median_x,k_mean,k_rank
Seward County Community College/Area Technical School,Liberal,1,2.0,9,Two-year (public and private not-for-profit),5176.0,4543.1929,33700,36264.63982780612,0.54683375
Wor-Wic Community College,Dover,1,2.0,9,Two-year (public and private not-for-profit),5748.0,2727.0847,28900,31825.28190104167,0.50478172
Georgian Court University,Toms River,0,1.0,6,Selective private,8029.0,5042.4888,41000,40324.28989161652,0.59551227
John Brown University,Fayetteville,0,1.0,6,Selective private,6425.0,5394.8354,35300,44789.43619791666,0.56326616
Jefferson Community College,Watertown,1,2.0,9,Two-year (public and private not-for-profit),5956.0,3442.4534,28400,32183.574361005172,0.50688636
"California State University, San Marcos",San Diego,1,1.0,5,Selective public,8357.0,5693.1777,44400,50603.34853005652,0.62741566
Lincoln Memorial University,Middlesborough,0,1.0,6,Selective private,2660.0,8649.5234,40600,42750.37630208334,0.57159513
Casper College,Casper,1,2.0,9,Two-year (public and private not-for-profit),7124.0,5616.4282,36200,43216.14077135133,0.57678252
University Of Massachusetts System,Springfield,1,1.0,5,Selective public,10927.741000000002,9341.7715,51700,58144.61870788759,0.67960954
Brenau University,Gainesville,0,1.0,6,Selective private,6737.0,5283.688,34600,35588.35467955124,0.54620558
Cape Cod Community College,Boston,1,2.0,9,Two-year (public and private not-for-profit),6487.0,3187.4026,27300,31061.69199121843,0.49749732
Yale University,Bridgeport,0,1.0,1,Ivy Plus,16042.0,112324.66,76000,143231.283910124,0.76139319
Graceland University,Creston,0,1.0,6,Selective private,4986.0,6804.6089,39300,44340.23567708334,0.60096395
Polk State College,Lakeland,1,1.0,7,Nonselective four-year public,6052.0,2433.5464,29700,32159.553565832015,0.51485121
Georgia State University,Atlanta,1,1.0,5,Selective public,7149.0,6198.563,38900,44073.234566680934,0.59146136
Palomar College,San Diego,1,2.0,9,Two-year (public and private not-for-profit),9256.0,2168.8767,31500,37108.57361394401,0.52902561
Pasco - Hernando State College,Tampa,1,2.0,9,Two-year (public and private not-for-profit),5999.0,1635.9171,25200,29131.34865031362,0.47471395
College Of The Mainland,Houston,1,2.0,9,Two-year (public and private not-for-profit),5699.0,4268.9263,30400,37497.93279838875,0.53703713
Monmouth University,Toms River,0,1.0,6,Selective private,8286.0,7205.1689,51900,56012.12705679405,0.67940158
Tarleton State University,Stephenville,1,1.0,5,Selective public,7074.0,3791.4536,41000,47495.53879684247,0.61646008
Central State University,Dayton,1,1.0,5,Selective public,6423.0,6022.0244,25200,26282.73169006501,0.47048882
Ohlone College,San Francisco,1,2.0,9,Two-year (public and private not-for-profit),9993.0,2163.4783,38500,44142.780249469004,0.58577436
Dallas County Community College District,Dallas,1,2.0,9,Two-year (public and private not-for-profit),6784.834,1945.1814,32300,35370.99213641392,0.53377128
