Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
12385,18065,20690,12385,18065,20690,18465,24145,26770,3632,3048,6680,1,165820,165820
16040,22804,22804,16040,22804,22804,22120,28884,28884,3982,2447,6429,1,165866,165866
20065,26865,36965,20065,26865,36965,20065,26865,36965,412,70,482,1,165884,165884
36230,45660,44860,36230,45660,44860,36230,45660,44860,1768,305,2073,1,165936,165936
13054,17229,,13054,17229,,19174,23349,,815,1425,2240,1,165981,165981
48125,59245,60155,48125,59245,60155,48125,59245,60155,1492,0,1492,1,166018,166018
,,59950,,,59950,,,59950,20353,7889,28242,1,166027,166027
26220,42820,38080,26220,42820,38080,26220,42820,38080,200,8,208,1,166054,166054
46672,53872,57832,46672,53872,57832,46672,53872,57832,2877,35,2912,1,166124,166124
8324,16594,,8324,16594,,13268,21538,,3272,3468,6740,1,166133,166133
34500,41500,46000,34500,41500,46000,34500,41500,46000,1767,314,2081,1,166391,166391
31881,45981,,31881,45981,,31881,45981,,266,36,302,1,166407,166407
37790,41725,49765,37790,41725,49765,37790,41725,49765,2554,2641,5195,1,166452,166452
36978,46878,,36978,46878,,36978,46878,,249,16,265,1,166489,166489
16679,19079,24961,16679,19079,24961,30728,33128,39010,10320,6610,16930,1,166513,166513
24485,32140,,24485,32140,,24485,32140,,130,136,266,1,166601,166601
17843,26282,26282,17843,26282,26282,32559,40998,40998,22808,5710,28518,1,166629,166629
15106,24156,,15106,24156,,30570,39620,,9999,6278,16277,1,166638,166638
13614,19480,,13614,19480,,18558,24424,,1961,3416,5377,1,166647,166647
35015,46179,46179,35015,46179,46179,35015,46179,46179,6042,506,6548,1,166656,166656
17900,26500,26500,17900,26500,26500,36100,44700,44700,1793,471,2264,1,166674,166674
46276,,59020,46276,,59020,46276,,59020,11138,163,11301,1,166683,166683
9927,17427,22073,9927,17427,22073,24833,32333,36979,1333,143,1476,1,166692,166692
11806,17206,,11806,17206,,16750,22150,,3618,4654,8272,1,166823,166823
37535,49685,49685,37535,49685,49685,37535,49685,49685,2790,277,3067,1,166850,166850
7324,16589,,7324,16589,,12258,21523,,3619,6083,9702,1,166887,166887
31870,41170,39670,31870,41170,39670,31870,41170,39670,379,13,392,1,166911,166911
45756,54296,55496,45756,54296,55496,45756,54296,55496,2188,63,2251,1,166939,166939
32645,41045,44945,32645,41045,44945,32645,41045,44945,1176,112,1288,1,166948,166948
9800,17200,,9800,17200,,14720,22120,,2000,2734,4734,1,166957,166957
48318,53863,56253,48318,53863,56253,48318,53863,56253,563,88,651,1,166984,166984
43275,55870,55870,43275,55870,55870,43275,55870,55870,749,64,813,1,167057,167057
34900,48980,,34900,48980,,34900,48980,,66,0,66,1,167224,167224
35440,43440,44550,35440,43440,44550,35440,43440,44550,851,111,962,1,167251,167251
38570,42440,46690,38570,42440,46690,38570,42440,46690,1138,321,1459,1,167260,167260
12541,21363,21363,12541,21363,21363,21486,30308,30308,1374,342,1716,1,167288,167288
7956,19956,,7956,19956,,13524,25524,,3018,4732,7750,1,167312,167312
28444,31948,40444,28444,31948,40444,28444,31948,40444,712,67,779,1,167321,167321
44486,58096,58096,44486,58096,58096,44486,58096,58096,17957,2096,20053,1,167358,167358
8954,18350,,8954,18350,,14738,24134,,2438,4914,7352,1,167376,167376
34182,43497,44612,34182,43497,44612,34182,43497,44612,1021,657,1678,1,167394,167394
29330,38230,40870,29330,38230,40870,29330,38230,40870,338,8,346,1,167455,167455
11382,23382,,11382,23382,,11382,23382,,1718,2858,4576,1,167525,167525
8550,16956,,8550,16956,,13494,21900,,3440,5142,8582,1,167534,167534
40045,51630,50630,40045,51630,50630,40045,51630,50630,1225,844,2069,1,167598,167598
5362,12162,,5362,12162,,10666,17466,,793,1644,2437,1,167631,167631
20450,28700,28700,20450,28700,28700,20450,28700,28700,117,75,192,1,167677,167677
13584,22372,22084,13584,22372,22084,19724,28512,28224,6194,3107,9301,1,167729,167729
40570,52610,52610,40570,52610,52610,40570,52610,52610,2335,2320,4655,1,167783,167783
48713,61403,61403,48713,61403,61403,48713,61403,61403,341,9,350,1,167792,167792
50432,,60167,50432,,60167,50432,,60167,2937,96,3033,1,167835,167835
,,,,,,,,,86,26,112,1,167871,167871
35560,46480,46480,35560,46480,46480,35560,46480,46480,3004,251,3255,1,167899,167899
10050,21120,,10050,21120,,16560,27630,,3210,3582,6792,1,167905,167905
16447,24947,25355,16447,24947,25355,28922,37422,37830,7060,1993,9053,1,167987,167987
40878,46698,52370,40878,46698,52370,40878,46698,52370,2458,23,2481,1,167996,167996
37785,50196,49979,37785,50196,49979,37785,50196,49979,6815,1860,8675,1,168005,168005
48818,53600,61000,48818,53600,61000,48818,53600,61000,10051,821,10872,1,168148,168148
47404,47404,59092,47404,47404,59092,47404,47404,59092,2344,130,2474,1,168218,168218
39690,49776,46750,39690,49776,46750,39690,49776,46750,3724,455,4179,1,168227,168227
37790,47290,48890,37790,47290,48890,37790,47290,48890,2955,845,3800,1,168254,168254
12456,21296,21296,12456,21296,21296,18536,27376,27376,5220,1151,6371,1,168263,168263
48574,58574,58574,48574,58574,58574,48574,58574,58574,1645,9,1654,1,168281,168281
35660,47870,47870,35660,47870,47870,35660,47870,47870,1065,313,1378,1,168290,168290
,,61850,,,61850,,,61850,2118,32,2150,1,168342,168342
46478,57628,58060,46478,57628,58060,46478,57628,58060,4719,1577,6296,1,168421,168421
12341,17741,22718,12341,17741,22718,18421,23821,28798,4268,2179,6447,1,168430,168430
33380,38330,42740,33380,38330,42740,33380,38330,42740,1588,67,1655,1,168528,168528
38051,48195,48195,38051,48195,48195,38051,48195,48195,1272,35,1307,1,168546,168546
35022,44287,44287,35022,44287,44287,35022,44287,44287,1378,41,1419,1,168591,168591
6270,11770,,8190,13690,,8190,13690,,870,842,1712,1,168607,168607
27570,37884,35538,27570,37884,35538,27570,37884,35538,2324,1192,3516,1,168740,168740
30480,36138,38012,30480,36138,38012,30480,36138,38012,1649,352,2001,1,168786,168786
14700,21900,20100,14700,21900,20100,14700,21900,20100,1713,1115,2828,1,168838,168838
14700,21900,20100,14700,21900,20100,14700,21900,20100,2746,2231,4977,1,168847,168847
10770,16300,16300,13653,19183,19183,17745,23275,23275,1149,1156,2305,1,168883,168883
32640,41195,41195,32640,41195,41195,32640,41195,41195,3849,185,4034,1,169080,169080
14550,22522,,14550,22522,,14550,22522,,112,129,241,1,169187,169187
13960,20460,22004,13960,20460,22004,26410,32910,34454,19653,7188,26841,1,169248,169248
7791,17268,,9080,18557,,10810,20287,,2903,6780,9683,1,169275,169275
21048,28716,,21048,28716,,21048,28716,,333,213,546,1,169327,169327
27063,,35693,27063,,35693,27063,,35693,532,208,740,1,169363,169363
42010,50110,50110,42010,50110,50110,42010,50110,50110,1138,285,1423,1,169442,169442
19960,28652,26872,19960,28652,26872,19960,28652,26872,2676,6915,9591,1,169479,169479
7424,11504,,9029,13109,,13019,17099,,3880,6392,10272,1,169521,169521
17618,25493,,17618,25493,,17618,25493,,450,48,498,1,169655,169655
43730,54702,52400,43730,54702,52400,43730,54702,52400,3716,1396,5112,1,169716,169716
21024,32382,,21024,32382,,21024,32382,,204,0,204,1,169734,169734
21024,32382,,21024,32382,,21024,32382,,146,0,146,1,169761,169761
13522,20162,20756,13522,20162,20756,29067,35707,36301,14493,8954,23447,1,169798,169798
13744,21878,21878,13744,21878,21878,20000,28134,28134,10066,4641,14707,1,169910,169910
,,,,,,,,,56,0,56,1,169947,169947
8196,13666,,9588,15058,,10356,15826,,531,690,1221,1,169974,169974
43414,51277,51277,43414,51277,51277,43414,51277,51277,1612,373,1985,1,169983,169983
8614,15590,14418,9792,16768,15596,10753,17729,16557,647,452,1099,1,169992,169992
15437,21872,21949,15437,21872,21949,15437,21872,21949,438,141,579,1,170000,170000
28012,35922,35922,28012,35922,35922,28012,35922,35922,1909,900,2809,1,170037,170037
6260,10388,,9104,13232,,11672,15800,,5669,10921,16590,1,170055,170055
16566,22432,22432,16566,22432,22432,21238,27104,27104,19853,4624,24477,1,170082,170082
19500,30550,25705,19500,30550,25705,19500,30550,25705,143,51,194,1,170091,170091
5436,13815,,6876,15255,,6996,15375,,5011,8825,13836,1,170240,170240
31660,34330,40050,31660,34330,40050,31660,34330,40050,3224,164,3388,1,170301,170301
22431,29926,,22431,29926,,22431,29926,,270,73,343,1,170417,170417
8060,15244,15244,9260,16444,16444,10580,17764,17764,2389,3276,5665,1,170444,170444
,,50800,,,50800,,,50800,1446,12,1458,1,170532,170532
5920,10048,,7873,12001,,9516,13644,,3888,6304,10192,1,170541,170541
7545,13015,,9292,14762,,11253,16723,,1744,4379,6123,1,170550,170550
9587,16345,,10727,17485,,13337,20095,,694,1111,1805,1,170587,170587
8580,14430,,10005,15855,,11355,17205,,1302,2928,4230,1,170620,170620
13060,20303,21788,13060,20303,21788,17980,25223,26708,1967,468,2435,1,170639,170639
10480,17580,,12970,20070,,15460,22560,,6587,10975,17562,1,170657,170657
34379,43061,43061,34379,43061,43061,34379,43061,43061,1571,2431,4002,1,170675,170675
11191,12621,,12648,14078,,13888,15318,,7508,15938,23446,1,170790,170790
20504,28704,27944,20504,28704,27944,20504,28704,27944,1774,2625,4399,1,170806,170806
23450,31450,30730,23450,31450,30730,23450,31450,30730,816,1144,1960,1,170842,170842
23082,27210,28890,23082,27210,28890,23082,27210,28890,723,406,1129,1,170967,170967
18384,26240,26240,18384,26240,26240,45634,53490,53490,41152,2558,43710,1,170976,170976
15792,24648,24648,15792,24648,24648,36680,45536,45536,43276,6041,49317,1,171100,171100
17200,26375,26375,17200,26375,26375,32080,41255,41255,6158,817,6975,1,171128,171128
15260,23100,,15260,23100,,27770,35610,,5225,3523,8748,1,171137,171137
14319,23026,23026,14319,23026,23026,23201,31908,31908,4943,3612,8555,1,171146,171146
7403,13113,,9659,15369,,13523,19233,,1672,2880,4552,1,171155,171155
6313,13468,,8293,15448,,8833,15988,,1313,2464,3777,1,171225,171225
6567,19219,,8967,21619,,11457,24109,,654,1290,1944,1,171234,171234
14700,21900,20100,14700,21900,20100,14700,21900,20100,2592,1429,4021,1,171298,171298
6425,10925,,8540,13040,,10340,14840,,1705,3174,4879,1,171304,171304
6783,12983,12583,8486,14686,14286,9738,15938,15538,899,1891,2790,1,171395,171395
11577,20273,20273,11577,20273,20273,16653,25349,25349,7537,1381,8918,1,171456,171456
7224,17524,16274,9593,19893,18643,10936,21236,19986,1951,2773,4724,1,171483,171483
26816,35818,35028,26816,35818,35028,26816,35818,35028,1934,1260,3194,1,171492,171492
5797,12497,,7678,14378,,9361,16061,,8058,18347,26405,1,171535,171535
15841,22887,21751,15841,22887,21751,29101,36147,35011,13863,6306,20169,1,171571,171571
26781,34181,34181,26781,34181,34181,26781,34181,34181,981,148,1129,1,171599,171599
23367,27483,27970,23367,27483,27970,23367,27483,27970,248,43,291,1,171881,171881
20553,32487,31767,20553,32487,31767,20553,32487,31767,130,306,436,1,172033,172033
12809,21255,19181,12809,21255,19181,24162,32608,30534,7902,2343,10245,1,172051,172051
7928,14593,,9158,15823,,11078,17743,,4386,7999,12385,1,172200,172200
24404,34014,34014,24404,34014,34014,24404,34014,34014,1246,1438,2684,1,172264,172264
6672,12382,,9493,15203,,12128,17838,,1763,2561,4324,1,172291,172291
8261,16101,16101,9253,17093,17093,9640,17480,17480,1410,1392,2802,1,172307,172307
25876,34046,34046,25876,34046,34046,25876,34046,34046,2498,1464,3962,1,172334,172334
21496,39001,22458,21496,39001,22458,29896,47401,30858,200,0,200,1,172422,172422
25580,33880,32220,25580,33880,32220,25580,33880,32220,464,61,525,1,172440,172440
6862,13718,,8182,15038,,9310,16166,,3758,8569,12327,1,172617,172617
7232,11824,,7496,12088,,8216,12808,,3862,14257,18119,1,172635,172635
17091,26408,23586,17091,26408,23586,29711,39028,36206,18096,9801,27897,1,172644,172644
6117,11517,,7773,13173,,8973,14373,,513,974,1487,1,172671,172671
15137,22145,22250,15137,22145,22250,28891,35899,36004,17042,7252,24294,1,172699,172699
22965,30165,,22965,30165,,22965,30165,,108,41,149,1,172866,172866
13685,18885,,13685,18885,,13685,18885,,1474,1371,2845,1,172918,172918
12190,22546,,12190,22546,,12190,22546,,1021,1228,2249,1,172954,172954
13719,20523,,13719,20523,,13719,20523,,3161,6159,9320,1,172963,172963
38479,47093,45465,38479,47093,45465,38479,47093,45465,2567,1095,3662,1,173045,173045
10422,16197,,10422,16197,,10422,16197,,1334,1974,3308,1,173063,173063
9382,16638,,9382,16638,,9382,16638,,430,786,1216,1,173115,173115
11686,18940,18940,11686,18940,18940,11686,18940,18940,3551,1412,4963,1,173124,173124
26880,34150,34150,26880,34150,34150,26880,34150,34150,552,27,579,1,173142,173142
36990,44590,44300,36990,44590,44300,36990,44590,44300,2942,1398,4340,1,173160,173160
10493,16393,,10493,16393,,10493,16393,,2179,2171,4350,1,173203,173203
,,60425,,,60425,,,60425,2025,20,2045,1,173258,173258
35804,43394,42964,35804,43394,42964,35804,43394,42964,2488,70,2558,1,173300,173300
23100,30850,30850,23100,30850,30850,23100,30850,30850,2494,1167,3661,1,173328,173328
12305,19775,,12305,19775,,12305,19775,,1496,1632,3128,1,173416,173416
16700,21560,21560,16700,21560,21560,16700,21560,21560,710,114,824,1,173452,173452
12788,18511,,12788,18511,,17205,22928,,2140,3254,5394,1,173461,173461
21653,33065,,21653,33065,,21653,33065,,111,90,201,1,173489,173489
10098,16822,14898,10098,16822,14898,10098,16822,14898,3134,3330,6464,1,173559,173559
22302,27450,,22302,27450,,22302,27450,,635,348,983,1,173629,173629
11768,16216,16216,11768,16216,16216,16915,21363,21363,1315,1916,3231,1,173638,173638
41060,50110,50110,41060,50110,50110,41060,50110,50110,2423,26,2449,1,173647,173647
37308,46398,46398,37308,46398,46398,37308,46398,46398,2647,1934,4581,1,173665,173665
10998,22456,,10998,22456,,10998,22456,,2278,4124,6402,1,173708,173708
10018,16093,16093,10018,16093,16093,11200,17275,17275,845,531,1376,1,173735,173735
12804,19788,,12804,19788,,12804,19788,,2104,3840,5944,1,173799,173799
9867,18037,15633,9867,18037,15633,11049,19219,16815,886,362,1248,1,173805,173805
27100,30604,33613,27100,30604,33613,27100,30604,33613,883,278,1161,1,173887,173887
,,57478,,,57478,,,57478,2011,28,2039,1,173902,173902
10620,17620,,10620,17620,,10620,17620,,1687,1723,3410,1,173911,173911
11155,17093,17562,11155,17093,17562,18634,24572,25041,12097,3329,15426,1,173920,173920
21935,25063,,21935,25063,,21935,25063,,318,1308,1626,1,173984,173984
7193,14125,,7193,14125,,8148,15080,,841,584,1425,1,173993,173993
14546,25930,,14546,25930,,21131,32515,,3033,5477,8510,1,174020,174020
16749,25281,25281,16749,25281,25281,22999,31531,31531,38767,12759,51526,1,174066,174066
15048,22722,22722,15048,22722,22722,15048,22722,22722,1305,1534,2839,1,174075,174075
16140,23140,23140,16140,23140,23140,16140,23140,23140,273,0,273,1,174118,174118
36930,43560,43560,36930,43560,43560,36930,43560,43560,698,93,791,1,174127,174127
10870,23443,,10870,23443,,10870,23443,,3409,6282,9691,1,174136,174136
15560,26099,,15560,26099,,15560,26099,,128,134,262,1,174154,174154
19680,28460,26410,19680,28460,26410,19680,28460,26410,88,13,101,1,174206,174206
16399,23355,23355,16399,23355,23355,20064,27020,27020,9658,1583,11241,1,174233,174233
15724,23206,23206,15724,23206,23206,15724,23206,23206,1815,131,1946,1,174251,174251
22302,27450,,22302,27450,,22302,27450,,625,412,1037,1,174279,174279
11868,19000,19000,11868,19000,19000,18766,25898,25898,5260,1374,6634,1,174358,174358
16198,25111,,16198,25111,,16198,25111,,2125,5437,7562,1,174376,174376
16038,21546,,16038,21546,,16038,21546,,22,349,371,1,174385,174385
19627,27243,,19627,27243,,19627,27243,,123,114,237,1,174394,174394
14991,22049,,14991,22049,,14991,22049,,3998,5510,9508,1,174428,174428
27188,30249,30248,27188,30249,30248,27188,30249,30248,1088,217,1305,1,174437,174437
11117,17117,,11117,17117,,11117,17117,,1713,2079,3792,1,174473,174473
32540,36540,40120,32540,36540,40120,32540,36540,40120,1986,1366,3352,1,174491,174491
18590,26590,,18590,26590,,18590,26590,,783,121,904,1,174507,174507
22975,27130,26325,22975,27130,26325,22975,27130,26325,122,21,143,1,174525,174525
10203,18267,,10203,18267,,13879,21943,,345,753,1098,1,174570,174570
9723,14923,14923,9723,14923,14923,10905,16105,16105,240,75,315,1,174604,174604
14908,22108,,14908,22108,,14908,22108,,2728,3329,6057,1,174738,174738
40326,49970,49970,40326,49970,49970,40326,49970,49970,2015,36,2051,1,174747,174747
8301,14561,,8301,14561,,8301,14561,,2286,2660,4946,1,174756,174756
11766,19002,19002,11766,19002,19002,19408,26644,26644,10447,6318,16765,1,174783,174783
39562,48546,48546,39562,48546,48546,39562,48546,48546,1904,75,1979,1,174792,174792
36615,39750,39750,36615,39750,39750,36615,39750,39750,3294,2234,5528,1,174817,174817
42600,51860,51860,42600,51860,51860,42600,51860,51860,3081,44,3125,1,174844,174844
28320,35800,35080,28320,35800,35080,28320,35800,35080,1071,252,1323,1,174862,174862
34810,42752,43008,34810,42752,43008,34810,42752,43008,3309,897,4206,1,174899,174899
39414,48400,48400,39414,48400,48400,39414,48400,48400,7257,2935,10192,1,174914,174914
38444,47012,47012,38444,47012,47012,38444,47012,47012,3254,1763,5017,1,175005,175005
16767,24390,,16767,24390,,16767,24390,,2787,2698,5485,1,175014,175014
13018,22244,,13018,22244,,13018,22244,,2740,4000,6740,1,175041,175041
12430,19576,19576,12430,19576,19576,12430,19576,19576,2403,4514,6917,1,175078,175078
8295,15319,15319,8295,15319,15319,9477,16501,16501,496,215,711,1,175157,175157
25598,35198,,25598,35198,,25598,35198,,855,216,1071,1,175227,175227
9610,15428,,9610,15428,,9610,15428,,2293,1473,3766,1,175236,175236
14512,21118,,14512,21118,,14512,21118,,1135,1072,2207,1,175263,175263
14090,20790,20790,14090,20790,20790,19590,26290,26290,7487,1295,8782,1,175272,175272
9898,17040,,9898,17040,,9898,17040,,3985,6088,10073,1,175315,175315
14010,22440,20984,14010,22440,20984,14010,22440,20984,2917,931,3848,1,175342,175342
27272,37376,34472,27272,37376,34472,27272,37376,34472,1411,2614,4025,1,175421,175421
13470,19370,17550,13470,19370,17550,13470,19370,17550,461,71,532,1,175430,175430
5540,11540,8460,5540,11540,8460,6540,12540,9460,1854,219,2073,1,175519,175519
22058,27670,,22058,27670,,22058,27670,,375,110,485,1,175528,175528
6950,11310,7650,6950,11310,7650,8950,13310,9650,2509,648,3157,1,175573,175573
18887,18887,18887,18887,18887,18887,18887,18887,18887,3676,1109,4785,1,175616,175616
6970,12230,10460,6970,12230,10460,9070,14330,12560,1974,598,2572,1,175643,175643
7925,14621,11765,7925,14621,11765,10125,16821,13965,2697,1667,4364,1,175652,175652
5710,11110,8710,5710,11110,8710,8310,13710,11310,8468,3425,11893,1,175786,175786
7588,11188,10258,7588,11188,10258,10168,13768,12838,4078,1872,5950,1,175810,175810
8470,14300,10480,8470,14300,10480,10670,16500,12680,4194,1499,5693,1,175829,175829
13748,19848,20640,13748,19848,20640,22952,29052,29844,6665,2469,9134,1,175856,175856
9072,13142,11610,9072,13142,11610,11072,15142,13610,3573,870,4443,1,175883,175883
8210,14150,10160,8210,14150,10160,9490,15430,11440,2481,1232,3713,1,175935,175935
35452,46680,46680,35452,46680,46680,35452,46680,46680,767,37,804,1,175980,175980
5750,8850,8490,5750,8850,8490,7358,10458,10098,2305,645,2950,1,176008,176008
12878,22444,22444,12878,22444,22444,23846,33412,33412,17612,1819,19431,1,176017,176017
10640,16540,16823,10640,16540,16823,20360,26260,26543,2046,583,2629,1,176035,176035
11716,18552,18552,11716,18552,18552,11716,18552,18552,1711,492,2203,1,176044,176044
21075,28401,27611,21075,28401,27611,21075,28401,27611,3781,1140,4921,1,176053,176053
8002,17002,9612,8002,17002,9612,9848,18848,11458,6941,3165,10106,1,176071,176071
13023,21670,21670,13023,21670,21670,23211,31858,31858,16951,3210,20161,1,176080,176080
10485,14523,10187,10485,14523,10187,12735,16773,12437,2710,561,3271,1,176169,176169
7858,17866,7332,7858,17866,7332,10058,20066,9532,5956,1915,7871,1,176178,176178
3630,6580,7780,3630,6580,7780,6028,8978,10178,3204,1377,4581,1,176239,176239
13400,16200,15400,13400,16200,15400,13400,16200,15400,854,68,922,1,176318,176318
6340,7940,9390,6340,7940,9390,6340,7940,9390,27,11,38,1,176336,176336
7750,13150,10060,7750,13150,10060,10450,15850,12760,1767,254,2021,1,176354,176354
13688,22752,19894,13688,22752,19894,21968,31032,28174,12317,2932,15249,1,176372,176372
14427,20227,20757,14427,20227,20757,14427,20227,20757,849,29,878,1,176406,176406
19910,25500,25500,19910,25500,25500,19910,25500,25500,2826,1056,3882,1,176479,176479
18557,34057,,18557,34057,,18557,34057,,277,0,277,1,176549,176549
31066,38388,36414,31066,38388,36414,31066,38388,36414,1526,445,1971,1,176628,176628
22431,29926,,22431,29926,,22431,29926,,481,121,602,1,176637,176637
16730,16730,17630,16730,16730,17630,16730,16730,17630,278,89,367,1,176664,176664
14118,25444,,14118,25444,,14118,25444,,455,425,880,1,176770,176770
15556,21736,18556,15556,21736,18556,15556,21736,18556,187,141,328,1,176789,176789
21673,34054,23695,21673,34054,23695,21673,34054,23695,237,65,302,1,176910,176910
26050,32970,32970,26050,32970,32970,26050,32970,32970,1068,39,1107,1,176947,176947
10665,19015,18799,10665,19015,18799,17059,25409,25193,9203,3310,12513,1,176965,176965
,,,,,,,,,90,0,90,1,176983,176983
22443,41789,,22443,41789,,22443,41789,,482,18,500,1,177038,177038
,,,,,,,,,44,34,78,1,177056,177056
15579,22307,21833,15579,22307,21833,15579,22307,21833,9572,7374,16946,1,177065,177065
,,31890,,,31890,,,31890,90,9,99,1,177083,177083
22350,25300,27850,22350,25300,27850,22350,25300,27850,275,2,277,1,177117,177117
6144,12843,9727,6840,13539,10423,6840,13539,10423,2561,3284,5845,1,177135,177135
28858,36788,34952,28858,36788,34952,28858,36788,34952,785,58,843,1,177144,177144
26695,32985,34719,26695,32985,34719,26695,32985,34719,3278,1371,4649,1,177214,177214
9331,18320,,10075,19064,,11371,20360,,1852,2048,3900,1,177250,177250
18530,25766,,18530,25766,,18530,25766,,555,0,555,1,177302,177302
25601,30291,32183,25601,30291,32183,25601,30291,32183,1984,290,2274,1,177339,177339
29296,34896,33896,29296,34896,33896,29296,34896,33896,1192,805,1997,1,177418,177418
19480,24280,,19480,24280,,19480,24280,,34,7,41,1,177436,177436
6648,14513,,7560,15425,,8544,16409,,7049,7749,14798,1,177472,177472
23816,31648,29258,23816,31648,29258,23816,31648,29258,883,346,1229,1,177542,177542
10220,16788,20120,10220,16788,20120,14853,21421,24753,984,314,1298,1,177551,177551
17932,22932,24784,17932,22932,24784,17932,22932,24784,318,54,372,1,177579,177579
7418,14321,10796,8570,15473,11948,9698,16601,13076,2715,2479,5194,1,177676,177676
40712,45712,50362,40712,45712,50362,40712,45712,50362,735,4,739,1,177746,177746
,,31995,,,31995,,,31995,123,0,123,1,177816,177816
5250,6000,,5250,6000,,5250,6000,,13,0,13,1,177870,177870
10957,17970,16421,10957,17970,16421,17347,24360,22811,1916,1127,3043,1,177940,177940
24150,33150,31140,24150,33150,31140,24150,33150,31140,9238,2975,12213,1,177968,177968
11491,16491,16591,11491,16491,16591,16231,21231,21331,1108,186,1294,1,177977,177977
10668,16280,,13068,18680,,14688,20300,,7734,11500,19234,1,177995,177995
17007,27980,22671,17007,27980,22671,17007,27980,22671,121,88,209,1,178004,178004
33763,43290,41918,33763,43290,41918,33763,43290,41918,1977,3056,5033,1,178059,178059
12899,17437,,12899,17437,,12899,17437,,124,13,137,1,178110,178110
12147,23031,15679,12147,23031,15679,12147,23031,15679,768,364,1132,1,178208,178208
10538,16149,14221,11438,17049,15121,12188,17799,15871,2869,1639,4508,1,178217,178217
27041,32025,,27041,32025,,27041,32025,,230,68,298,1,178226,178226
26719,33047,33313,26719,33047,33313,26719,33047,33313,1723,3622,5345,1,178244,178244
19499,25400,,19499,25400,,19499,25400,,531,22,553,1,178305,178305
9709,15320,15370,9709,15320,15370,14558,20169,20219,4126,1490,5616,1,178341,178341
22460,29510,,22460,29510,,22460,29510,,21,87,108,1,178350,178350
23300,29900,30000,23300,29900,30000,23300,29900,30000,1371,297,1668,1,178369,178369
9800,18025,18025,9800,18025,18025,15406,23631,23631,3997,1798,5795,1,178387,178387
,,22943,,,22943,,,37292,30318,4298,34616,1,178396,178396
18704,27076,28396,18704,27076,28396,31451,39823,41143,9917,5801,15718,1,178402,178402
,,21798,,,21798,,,36963,6663,1466,8129,1,178411,178411
17110,24923,24322,17110,24923,24322,32065,39878,39277,6988,9821,16809,1,178420,178420
9174,14374,9490,10284,15484,10600,11964,17164,12280,2773,2937,5710,1,178448,178448
12168,20044,19568,12168,20044,19568,18040,25916,25440,5612,613,6225,1,178615,178615
9390,17376,17376,9390,17376,17376,14391,22377,22377,5362,1123,6485,1,178624,178624
14910,21606,19246,14910,21606,19246,14910,21606,19246,652,99,751,1,178679,178679
22538,29707,27276,22538,29707,27276,22538,29707,27276,1498,15,1513,1,178697,178697
16096,22496,23248,16096,22496,23248,16096,22496,23248,1184,9794,10978,1,178721,178721
22395,29631,,22395,29631,,22395,29631,,124,48,172,1,178767,178767
19757,28757,25239,19757,28757,25239,19757,28757,25239,1313,784,2097,1,178891,178891
36775,44958,45235,36775,44958,45235,36775,44958,45235,1970,950,2920,1,179043,179043
,,,,,,,,,167,0,167,1,179052,179052
19074,26616,,19074,26616,,19074,26616,,215,88,303,1,179070,179070
43058,53438,53438,43058,53438,53438,43058,53438,53438,10521,6822,17343,1,179159,179159
13065,20715,16295,13065,20715,16295,13065,20715,16295,171,74,245,1,179256,179256
34163,45482,40888,34163,45482,40888,34163,45482,40888,1343,7,1350,1,179265,179265
11040,12940,,12420,14320,,14070,15970,,9968,14037,24005,1,179308,179308
23540,31424,30340,23540,31424,30340,23540,31424,30340,2301,1511,3812,1,179326,179326
11626,19896,17026,11626,19896,17026,15046,23316,20446,1256,867,2123,1,179344,179344
6607,14484,11275,7597,15474,12265,9547,17424,14215,2744,2441,5185,1,179539,179539
31914,41194,42424,31914,41194,42424,31914,41194,42424,673,181,854,1,179548,179548
11582,19702,19211,11582,19702,19211,16914,25034,24543,8332,3435,11767,1,179557,179557
11823,19251,19251,11823,19251,19251,18303,25731,25731,15407,5864,21271,1,179566,179566
10057,17905,15430,11677,19525,17050,12757,20605,18130,2559,1840,4399,1,179645,179645
8012,15172,12207,9002,16162,13197,10172,17332,14367,926,848,1774,1,179715,179715
47831,61808,61808,47831,61808,61808,47831,61808,61808,12078,1954,14032,1,179867,179867
33828,42220,41918,33828,42220,41918,33828,42220,41918,5783,12121,17904,1,179894,179894
25680,29575,32705,25680,29575,32705,25680,29575,32705,337,514,851,1,179919,179919
27600,34800,34800,27600,34800,34800,27600,34800,34800,1018,8,1026,1,179946,179946
36340,44080,43820,36340,44080,43820,36340,44080,43820,1012,32,1044,1,179955,179955
24550,27100,35250,24550,27100,35250,24550,27100,35250,1261,875,2136,1,179964,179964
11030,18863,,11030,18863,,11030,18863,,382,68,450,1,180054,180054
6486,15486,15486,6486,15486,15486,11453,20453,20453,529,384,913,1,180081,180081
32614,40918,40918,32614,40918,40918,32614,40918,40918,1349,82,1431,1,180106,180106
7313,12513,11013,8475,13675,12175,13365,18565,17065,227,145,372,1,180151,180151
7260,12660,,7260,12660,,7260,12660,,128,73,201,1,180160,180160
10875,17835,17835,10875,17835,17835,22218,29178,29178,3372,1597,4969,1,180179,180179
9060,15380,12035,10432,16752,13407,16200,22520,19175,1082,1134,2216,1,180197,180197
