Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
6178,14223,10549,6178,14223,10549,10426,18471,14797,1649,2804,4453,1,104425,104425
6630,12320,12345,6630,12320,12345,13230,18920,18945,1953,4649,6602,1,104577,104577
36764,46314,46314,36764,46314,46314,36764,46314,46314,1720,135,1855,1,104586,104586
9780,15504,,9780,15504,,15564,21288,,7224,13648,20872,1,104708,104708
25300,32100,32100,25300,32100,32100,25300,32100,32100,8023,47474,55497,1,104717,104717
18275,36115,,18275,36115,,18275,36115,,2238,0,2238,1,104805,104805
9780,15504,,9780,15504,,15564,21288,,1345,5095,6440,1,105145,105145
9780,15504,,9780,15504,,15564,21288,,7550,16128,23678,1,105154,105154
22431,29926,,22431,29926,,22431,29926,,305,104,409,1,105163,105163
22431,29926,,22431,29926,,22431,29926,,392,106,498,1,105172,105172
7257,14910,,7257,14910,,12873,20526,,1433,3794,5227,1,105206,105206
10715,14075,12175,10715,14075,12175,10715,14075,12175,935,554,1489,1,105297,105297
13892,22502,22746,13892,22502,22746,26247,34857,35101,20533,6061,26594,1,105330,105330
8506,16582,,8506,16582,,14290,22366,,674,2559,3233,1,105349,105349
9780,15504,,9780,15504,,15564,21288,,3421,9255,12676,1,105428,105428
18150,24380,,18150,24380,,18150,24380,,4480,0,4480,1,105516,105516
5724,11424,,5724,11424,,12048,17748,,10776,19306,30082,1,105525,105525
33696,39096,41336,33696,39096,41336,33696,39096,41336,572,371,943,1,105589,105589
7534,12622,,7534,12622,,13318,18406,,3054,18418,21472,1,105668,105668
9780,15504,,9780,15504,,15564,21288,,3159,7154,10313,1,105747,105747
9780,15504,,9780,15504,,15564,21288,,1437,3281,4718,1,105792,105792
26407,36382,35382,26407,36382,35382,26407,36382,35382,454,181,635,1,105899,105899
9800,14784,,9800,14784,,9800,14784,,2042,0,2042,1,106102,106102
5672,13172,13732,5672,13172,13732,11720,19220,19780,2224,5973,8197,1,106148,106148
14190,24135,23191,14190,24135,23191,23967,33912,32968,6632,5745,12377,1,106245,106245
17965,20915,21005,17965,20915,21005,17965,20915,21005,867,160,1027,1,106306,106306
26594,34154,34154,26594,34154,34154,26594,34154,34154,562,30,592,1,106342,106342
13170,22212,22212,13170,22212,22212,24426,33468,33468,20379,4962,25341,1,106397,106397
10152,14912,16882,10152,14912,16882,15852,20612,22582,2328,287,2615,1,106412,106412
8586,16314,12110,8586,16314,12110,10436,18164,13960,2220,2160,4380,1,106449,106449
12494,30107,20014,12494,30107,20014,18104,35717,25624,8384,5168,13552,1,106458,106458
10226,22008,16086,10226,22008,16086,15002,26784,20862,7283,4086,11369,1,106467,106467
11943,18693,16427,11943,18693,16427,17740,24490,22224,2546,1347,3893,1,106485,106485
19210,27754,,19210,27754,,19210,27754,,802,116,918,1,106546,106546
8718,13624,,8718,13624,,11406,16312,,1412,836,2248,1,106625,106625
13046,20084,18596,13046,20084,18596,18791,25829,24341,9045,2489,11534,1,106704,106704
17208,22278,23224,17208,22278,23224,17208,22278,23224,650,177,827,1,106713,106713
8225,15420,,8525,15720,,11075,18270,,652,945,1597,1,106795,106795
14710,20810,19810,14710,20810,19810,14710,20810,19810,143,57,200,1,106810,106810
5950,10950,,5950,10950,,5950,10950,,258,28,286,1,106829,106829
6420,11320,,6690,11590,,7170,12070,,610,776,1386,1,106883,106883
