Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Unitid
12494,30107,20014,12494,30107,20014,18104,35717,25624,1,106458
10226,22008,16086,10226,22008,16086,15002,26784,20862,1,106467
11943,18693,16427,11943,18693,16427,17740,24490,22224,1,106485
19210,27754,,19210,27754,,19210,27754,,1,106546
8718,13624,,8718,13624,,11406,16312,,1,106625
13046,20084,18596,13046,20084,18596,18791,25829,24341,1,106704
17208,22278,23224,17208,22278,23224,17208,22278,23224,1,106713
8225,15420,,8525,15720,,11075,18270,,1,106795
14710,20810,19810,14710,20810,19810,14710,20810,19810,1,106810
5950,10950,,5950,10950,,5950,10950,,1,106829
6420,11320,,6690,11590,,7170,12070,,1,106883
6974,17400,,7274,17700,,8444,18870,,1,106980
8116,7541,,8404,7829,,9892,9317,,1,106999
20270,26634,26634,20270,26634,26634,20270,26634,26634,1,107044
13656,20812,18934,13656,20812,18934,19776,26932,25054,1,107071
41916,49830,52536,41916,49830,52536,41916,49830,52536,1,107080
26384,29014,34776,26384,29014,34776,26384,29014,34776,1,107141
8458,17787,,8938,18267,,13498,22827,,1,107318
9732,21701,,10012,21981,,11412,23381,,1,107327
7539,15694,,8115,16270,,9819,17974,,1,107460
4921,9789,,4921,9789,,4921,9789,,1,107488
26270,32870,32610,26270,32870,32610,26270,32870,32610,1,107512
6671,16257,,6671,16257,,9221,18807,,1,107521
7814,15369,,7814,15369,,10166,17721,,1,107549
29481,38715,36379,29481,38715,36379,29481,38715,36379,1,107558
7635,13349,,7782,13496,,8559,14273,,1,107585
18010,28340,24986,18010,28340,24986,18010,28340,24986,1,107600
8725,13225,,9085,13585,,10405,14905,,1,107619
7480,11980,,7480,11980,,9940,14440,,1,107637
12280,19271,,12280,19271,,14020,21011,,1,107664
9338,18025,,9488,18175,,11453,20140,,1,107725
8817,16522,,9153,16858,,11673,19378,,1,107743
6811,18205,,6811,18205,,6811,18205,,1,107840
18174,24142,23886,18174,24142,23886,18174,24142,23886,1,107877
10873,27133,,11161,27421,,12937,29197,,1,107974
14274,21424,19438,14274,21424,19438,17424,24574,22588,1,107983
11227,20959,18019,11227,20959,18019,12667,22399,19459,1,107992
9116,17628,16498,9116,17628,16498,14660,23172,22042,1,108092
25226,36386,37828,25226,36386,37828,25226,36386,37828,1,108232
22431,29926,,22431,29926,,22431,29926,,1,108250
7273,18433,,7273,18433,,12385,23545,,1,108667
7331,19154,,7331,19154,,12651,24474,,1,108807
37520,52460,,37520,52460,,37520,52460,,1,108852
7080,17682,,7080,17682,,13176,23778,,1,109208
7421,16648,,7421,16648,,11981,21208,,1,109350
46972,60502,,46972,60502,,46972,60502,,1,109651
38242,49404,45996,38242,49404,45996,38242,49404,45996,1,109785
6228,15404,,6228,15404,,11912,21088,,1,109819
6682,17805,,6682,17805,,10978,22101,,1,109907
13420,20220,,13420,20220,,13420,20220,,1,110060
38127,49287,46624,38127,49287,46624,38127,49287,46624,1,110097
25976,33592,,25976,33592,,25976,33592,,1,110185
16690,23466,,16690,23466,,16690,23466,,1,110219
6838,17800,,6838,17800,,11638,22600,,1,110246
7793,19295,,7793,19295,,12133,23635,,1,110334
34106,45264,42228,34106,45264,42228,34106,45264,42228,1,110361
46234,55444,56134,46234,55444,56134,46234,55444,56134,1,110370
47136,58296,58755,47136,58296,58755,47136,58296,58755,1,110404
41755,52915,52577,41755,52915,52577,41755,52915,52577,1,110413
13122,24285,24285,13122,24285,24285,24282,35445,35445,1,110422
22705,34117,29986,22705,34117,29986,22705,34117,29986,1,110468
11397,22737,21186,11397,22737,21186,22557,33897,32346,1,110486
10883,22083,22433,10883,22083,22433,22043,33243,33593,1,110495
10537,21466,20377,10537,21466,20377,21697,32626,31537,1,110510
10289,21104,22571,10289,21104,22571,21449,32264,33731,1,110529
11154,22116,22362,11154,22116,22362,22314,33276,33522,1,110538
10536,22931,21286,10536,22931,21286,21696,34091,32446,1,110547
10515,21926,20682,10515,21926,20682,21675,33086,31842,1,110556
10809,23517,23505,10809,23517,23505,21969,34677,34665,1,110565
10702,22969,22312,10702,22969,22312,21862,34129,33472,1,110574
10860,22686,22106,10860,22686,22106,22020,33846,33266,1,110583
10961,23678,21705,10961,23678,21705,22121,34838,32865,1,110592
11145,23863,21669,11145,23863,21669,22305,35023,32829,1,110608
11120,23168,23209,11120,23168,23209,22280,34328,34369,1,110617
24091,28859,33319,24091,28859,33319,46969,51737,56197,1,110635
25266,28427,33066,25266,28427,33066,48144,51305,55944,1,110644
24078,29548,30504,24078,29548,30504,46956,52426,53382,1,110653
23750,29299,32416,23750,29299,32416,46628,52177,55294,1,110662
23793,28395,32238,23793,28395,32238,46671,51273,55116,1,110671
24197,29475,30470,24197,29475,30470,47075,52353,53348,1,110680
25591,30398,34051,25591,30398,34051,48469,53276,56929,1,110705
24661,29891,33153,24661,29891,33153,47539,52769,56031,1,110714
13415,24405,17775,13415,24405,17775,13415,24405,17775,1,110918
24832,31648,,24832,31648,,24832,31648,,1,110945
17209,23873,,17209,23873,,17209,23873,,1,111009
49321,59860,58296,49321,59860,58296,49321,59860,58296,1,111081
,,21102,,,21102,,,32262,1,111188
7257,18102,,7257,18102,,14333,25178,,1,111434
7139,18299,,7139,18299,,11435,22595,,1,111461
,,,,,,,,,1,111638
7332,18492,,7332,18492,,13100,24260,,1,111887
6194,15370,,6194,15370,,11878,21054,,1,111896
7245,18283,,7245,18283,,13077,24115,,1,111920
7139,18301,,7139,18301,,12131,23293,,1,111939
49113,59413,59459,49113,59413,59459,49113,59413,59459,1,111948
18181,29500,,18181,29500,,18181,29500,,1,111966
35610,46750,43550,35610,46750,43550,35610,46750,43550,1,112075
32074,43234,40252,32074,43234,40252,32074,43234,40252,1,112084
7114,14395,,7114,14395,,11026,18307,,1,112172
7259,18275,,7259,18275,,12733,23749,,1,112190
,,62010,,,62010,,,62010,1,112260
7973,21160,,7973,21160,,12125,25312,,1,112385
22145,33305,31860,22145,33305,31860,22145,33305,31860,1,112394
23296,30649,,23296,30649,,23296,30649,,1,112446
7208,18224,,7208,18224,,12104,23120,,1,112561
23462,34424,34424,23462,34424,34424,23462,34424,34424,1,112570
5552,17108,,5552,17108,,9632,21188,,1,112686
12027,19006,,12027,19006,,17767,24746,,1,112826
7080,17682,,7080,17682,,13176,23778,,1,113096
5568,21324,,5568,21324,,8352,24108,,1,113111
7215,18375,,7215,18375,,12389,23549,,1,113193
6086,16986,,6086,16986,,11596,22496,,1,113218
7036,17836,,7036,17836,,12052,22852,,1,113236
7671,19146,,7671,19146,,14151,25626,,1,113333
15702,25918,,15702,25918,,15702,25918,,1,113537
7193,18461,,7193,18461,,12513,23781,,1,113573
25862,37022,,25862,37022,,25862,37022,,1,113582
12027,19006,,12027,19006,,17767,24746,,1,113634
46586,51104,58860,46586,51104,58860,46586,51104,58860,1,113698
7206,18366,,7206,18366,,12146,23306,,1,113856
5552,17108,,5552,17108,,9632,21188,,1,113980
12216,18876,,12216,18876,,17900,24560,,1,114266
35429,49991,,35429,49991,,35429,49991,,1,114354
35429,49991,,35429,49991,,35429,49991,,1,114390
35429,49991,,35429,49991,,35429,49991,,1,114415
6333,15383,15383,6333,15383,15383,11883,20933,20933,1,114433
7664,19139,,7664,19139,,14144,25619,,1,114716
6938,16758,,6938,16758,,12578,22398,,1,114789
31701,42861,36991,31701,42861,36991,31701,42861,36991,1,114813
7486,18975,,7486,18975,,12358,23847,,1,114859
7230,18390,,7231,18391,,12639,23799,,1,114938
5981,16641,,5981,16641,,10469,21129,,1,115001
,,,,,,,,,1,115010
21130,34130,,21130,34130,,21130,34130,,1,115083
8013,21200,,8013,21200,,12045,25232,,1,115126
6087,16987,,6087,16987,,11597,22497,,1,115296
7280,18125,,7280,18125,,12644,23489,,1,115393
,,63860,,,63860,,,63860,1,115409
19454,30774,,19454,30774,,19454,30774,,1,115454
19454,30774,,19454,30774,,19454,30774,,1,115472
19454,30774,,19454,30774,,19454,30774,,1,115490
19454,30774,,19454,30774,,19454,30774,,1,115515
19454,30774,,19454,30774,,19454,30774,,1,115533
39005,50165,49041,39005,50165,49041,39005,50165,49041,1,115728
11116,22556,22556,11116,22556,22556,22276,33716,33716,1,115755
17339,28190,,17339,28190,,17339,28190,,1,115773
7311,18471,,7311,18471,,12911,24071,,1,115861
7629,19185,,7629,19185,,13791,25347,,1,116439
22431,29926,,22431,29926,,22431,29926,,1,116466
22431,29926,,22431,29926,,22431,29926,,1,116475
22431,29926,,22431,29926,,22431,29926,,1,116484
,,46869,,,46869,,,46869,1,116846
6958,16778,11986,6958,16778,11986,12598,22418,17626,1,117052
18585,29745,24285,18585,29745,24285,18585,29745,24285,1,117104
29251,35893,36211,29251,35893,36211,29251,35893,36211,1,117113
41085,52245,51997,41085,52245,51997,41085,52245,51997,1,117140
32342,45538,43238,32342,45538,43238,32342,45538,43238,1,117168
6954,18222,,6954,18222,,12375,23643,,1,117195
7273,18433,,7273,18433,,12385,23545,,1,117247
7069,18031,12961,7069,18031,12961,11845,22807,17737,1,117274
12145,20725,,12145,20725,,12145,20725,,1,117557
21057,35517,29991,21057,35517,29991,21057,35517,29991,1,117575
37299,46620,41490,37299,46620,41490,37299,46620,41490,1,117627
7323,18267,,7323,18267,,12843,23787,,1,117645
7206,18366,,7206,18366,,12146,23306,,1,117690
7206,18366,,7206,18366,,12146,23306,,1,117706
7206,18366,,7206,18366,,12146,23306,,1,117715
7206,18366,,7206,18366,,12146,23306,,1,117724
7206,18366,,7206,18366,,12146,23306,,1,117733
33606,44622,42147,33606,44622,42147,33606,44622,42147,1,117751
7206,18366,,7206,18366,,12146,23306,,1,117788
7206,18366,,7206,18366,,12146,23306,,1,117867
12027,19006,,12027,19006,,17767,24746,,1,117894
29251,35893,35119,29251,35893,35119,29251,35893,35119,1,117928
46250,57410,57379,46250,57410,57379,46250,57410,57379,1,117946
7081,21004,,7081,21004,,13231,27154,,1,118347
36067,46895,47961,36067,46895,47961,36067,46895,47961,1,118541
