Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Unitid
19072,25744,,19072,25744,,19072,25744,,1,153409
19072,25744,,19072,25744,,19072,25744,,1,153418
14150,20825,,14150,20825,,14150,20825,,1,153427
8420,16500,,8420,16500,,9288,17368,,1,153445
7968,14688,13128,7968,14688,13128,9768,16488,14928,1,153472
7570,14220,13920,7570,14220,13920,9635,16285,15985,1,153524
10624,15624,16624,10624,15624,16624,10976,15976,16976,1,153533
7460,18272,,7460,18272,,7460,18272,,1,153542
11199,18920,18920,11199,18920,18920,23751,31472,31472,1,153603
29938,37638,38738,29938,37638,38738,29938,37638,38738,1,153621
9143,15921,15921,9143,15921,15921,9293,16071,16071,1,153630
11875,20653,20691,11875,20653,20691,30745,39523,39561,1,153658
10259,17495,,10259,17495,,11159,18395,,1,153737
32014,40065,39077,32014,40065,39077,32014,40065,39077,1,153825
41585,48435,48435,41585,48435,48435,41585,48435,48435,1,153834
31230,38630,38630,31230,38630,38630,31230,38630,38630,1,153861
9976,16176,16176,9976,16176,16176,10216,16416,16416,1,153922
21700,26800,,21700,26800,,21700,26800,,1,153977
30378,38308,38308,30378,38308,38308,30378,38308,38308,1,154004
32130,38820,39075,32130,38820,39075,32130,38820,39075,1,154013
17855,27264,22575,17855,27264,22575,17855,27264,22575,1,154022
8942,13782,13541,8942,13782,13541,10858,15698,15457,1,154059
12060,19880,19880,12060,19880,19880,21556,29376,29376,1,154095
31152,39236,39236,31152,39236,39236,31152,39236,39236,1,154101
10047,18122,,10047,18122,,10047,18122,,1,154110
11090,17543,15896,11090,17543,15896,11570,18023,16376,1,154129
21637,31113,31113,21637,31113,31113,21637,31113,31113,1,154174
31150,42490,40146,31150,42490,40146,31150,42490,40146,1,154235
26458,34372,,26458,34372,,26458,34372,,1,154262
35847,43810,43350,35847,43810,43350,35847,43810,43350,1,154350
8112,15098,13148,8112,15098,13148,8262,15248,13298,1,154378
9038,13724,12064,9038,13724,12064,9248,13934,12274,1,154396
30400,35910,35910,30400,35910,35910,30400,35910,35910,1,154493
23975,29407,31560,23975,29407,31560,23975,29407,31560,1,154518
36650,45305,45305,36650,45305,45305,36650,45305,45305,1,154527
8499,12882,12882,8499,12882,12882,8571,12954,12954,1,154572
29392,33740,33706,29392,33740,33706,29392,33740,33706,1,154590
8604,12200,11154,8604,12200,11154,8604,12200,11154,1,154642
29880,40080,39407,29880,40080,39407,29880,40080,39407,1,154688
7946,15365,15365,7946,15365,15365,8938,16357,16357,1,154697
29250,35250,37855,29250,35250,37855,29250,35250,37855,1,154712
27205,32005,35205,27205,32005,35205,27205,32005,35205,1,154721
28280,37380,35170,28280,37380,35170,28280,37380,35170,1,154749
20897,24403,,20897,24403,,20897,24403,,1,154767
20907,24403,,20907,24403,,20907,24403,,1,154776
18821,24449,,18821,24449,,18821,24449,,1,154794
6525,12195,11975,6855,12525,12305,8595,14265,14045,1,154800
24732,34190,,24732,34190,,24732,34190,,1,154837
18000,25200,24500,18000,25200,24500,18000,25200,24500,1,154855
6050,10510,10510,6260,10720,10720,7880,12340,12340,1,154907
5030,10580,10180,5030,10580,10180,6598,12148,11748,1,154925
7174,11956,12014,7174,11956,12014,8902,13684,13742,1,154934
8356,15056,13381,8666,15366,13691,10123,16823,15148,1,154952
6892,14902,12380,7192,15202,12680,7642,15652,13130,1,154998
10609,22509,16833,10609,22509,16833,10609,22509,16833,1,155007
9974,17257,17257,9974,17257,17257,21748,29031,29031,1,155025
15749,22499,,15749,22499,,15749,22499,,1,155052
7280,16410,16410,7280,16410,16410,15743,24873,24873,1,155061
18780,25690,25790,18780,25690,25790,18780,25690,25790,1,155070
29205,37705,36005,29205,37705,36005,29205,37705,36005,1,155089
6923,13397,13397,7013,13487,13487,8693,15167,15167,1,155098
6794,12538,12688,6794,12538,12688,7402,13146,13296,1,155104
7362,14362,7912,7362,14362,7912,7362,14362,7912,1,155140
28124,38924,35800,28124,38924,35800,28124,38924,35800,1,155177
5054,11099,11099,5444,11489,11489,5834,11879,11879,1,155186
8049,13343,13343,8209,13503,13503,9201,14495,14495,1,155195
6198,10698,11498,6374,10874,11674,7654,12154,12954,1,155201
7938,14534,,8388,14984,,11328,17924,,1,155210
,,,,,,,,,1,155283
12938,21310,19866,12938,21310,19866,16658,25030,23586,1,155292
14575,23427,22277,14575,23427,22277,29341,38193,37043,1,155317
27628,37890,34408,27628,37890,34408,27628,37890,34408,1,155335
14239,21015,21331,14239,21015,21331,27184,33960,34276,1,155399
28380,31300,36400,28380,31300,36400,28380,31300,36400,1,155414
9909,19212,,9909,19212,,9909,19212,,1,155423
6130,15130,,6130,15130,,6880,15880,,1,155450
11698,17898,,11698,17898,,11698,17898,,1,155487
20748,26408,26474,20748,26408,26474,20748,26408,26474,1,155496
29209,35509,35477,29209,35509,35477,29209,35509,35477,1,155511
26381,35714,33687,26381,35714,33687,26381,35714,33687,1,155520
8264,15264,15264,8264,15264,15264,8264,15264,15264,1,155566
10493,15100,15100,10493,15100,15100,10493,15100,15100,1,155593
28594,36482,36482,28594,36482,36482,28594,36482,36482,1,155627
10831,17530,17296,10831,17530,17296,20711,27410,27176,1,155681
7040,13230,11200,7140,13330,11300,7432,13622,11592,1,155715
27150,32768,34536,27150,32768,34536,27150,32768,34536,1,155812
7285,12075,,7285,12075,,7285,12075,,1,155830
6768,11838,11838,6896,11966,11966,8048,13118,13118,1,155858
31920,37560,37632,31920,37560,37632,31920,37560,37632,1,155900
23550,31733,30652,23550,31733,30652,23550,31733,30652,1,155937
26130,39680,36750,26130,39680,36750,26130,39680,36750,1,155973
11012,20273,17403,11012,20273,17403,18164,27425,24555,1,156082
10486,16103,,10486,16103,,11894,17511,,1,156107
11976,21317,17397,11976,21317,17397,20010,29351,25431,1,156125
16220,19460,21800,16220,19460,21800,16220,19460,21800,1,156189
29046,34856,35494,29046,34856,35494,29046,34856,35494,1,156213
7306,14281,,7306,14281,,15946,22921,,1,156231
41982,52574,52574,41982,52574,52574,41982,52574,52574,1,156286
25720,31870,31870,25720,31870,31870,25720,31870,31870,1,156295
7306,14281,,7306,14281,,15946,22921,,1,156338
22140,32640,30390,22140,32640,30390,22140,32640,30390,1,156356
27856,31006,33628,27856,31006,33628,27856,31006,33628,1,156365
7366,14341,,7366,14341,,16006,22981,,1,156392
38320,46570,48020,38320,46570,48020,38320,46570,48020,1,156408
11465,18853,15294,11465,18853,15294,11465,18853,15294,1,156417
,,,,,,,,,1,156471
26500,33250,33500,26500,33250,33500,26500,33250,33500,1,156541
13036,20760,18960,13036,20760,18960,22108,29832,28032,1,156620
7306,14281,,7306,14281,,15946,22921,,1,156648
36730,44895,44110,36730,44895,44110,36730,44895,44110,1,156745
7306,14281,,7306,14281,,15946,22921,,1,156790
7306,14282,,7306,14282,,15946,22922,,1,156851
7306,14281,,7306,14281,,15946,22921,,1,156860
24084,29691,,24084,29691,,24084,29691,,1,156903
7386,14361,,7386,14361,,16026,23001,,1,156921
17515,25232,,17515,25232,,17515,25232,,1,157021
8065,13565,12540,8065,13565,12540,8065,13565,12540,1,157030
13854,19466,17506,13854,19466,17506,22650,28262,26302,1,157058
26940,32340,32190,26940,32340,32190,26940,32340,32190,1,157076
13404,23732,23732,13404,23732,23732,24486,34814,34814,1,157085
26052,36058,30256,26052,36058,30256,26052,36058,30256,1,157100
28213,35887,36613,28213,35887,36613,28213,35887,36613,1,157216
24750,32480,33570,24750,32480,33570,24750,32480,33570,1,157270
15086,22796,22796,15086,22796,22796,28974,36684,36684,1,157289
7306,14281,,7306,14281,,15946,22921,,1,157304
7306,14281,,7306,14281,,15946,22921,,1,157331
19141,27413,26041,19141,27413,26041,19141,27413,26041,1,157359
25850,37650,37650,25850,37650,37650,25850,37650,37650,1,157377
12249,19452,18851,12249,19452,18851,23497,30700,30099,1,157386
11162,18898,18898,11162,18898,18898,23282,31018,31018,1,157401
7386,14361,,7386,14361,,16026,23001,,1,157438
11436,23980,19186,11436,23980,19186,19524,32068,27274,1,157447
24084,29691,,24084,29691,,24084,29691,,1,157465
7306,14281,,7306,14281,,15946,22921,,1,157483
26750,33750,33750,26750,33750,33750,26750,33750,33750,1,157535
7306,14281,,7306,14281,,15946,22921,,1,157553
20897,24403,,20897,24403,,20897,24403,,1,157599
26106,34306,34726,26106,34306,34726,26106,34306,34726,1,157632
20907,24403,,20907,24403,,20907,24403,,1,157696
7306,14281,,7306,14281,,15946,22921,,1,157711
7450,14425,,7450,14425,,16090,23065,,1,157739
18714,21174,23914,18714,21174,23914,18714,21174,23914,1,157748
27039,37959,37439,27039,37959,37439,27039,37959,37439,1,157757
25602,30348,31699,25602,30348,31699,25602,30348,31699,1,157766
23329,28075,32449,23329,28075,32449,23329,28075,32449,1,157793
32515,40025,38621,32515,40025,38621,32515,40025,38621,1,157809
35410,43640,43640,35410,43640,43640,35410,43640,43640,1,157818
27040,33340,33740,27040,33340,33740,27040,33340,33740,1,157863
11502,20859,18822,11502,20859,18822,25028,34385,32348,1,157951
6045,14281,,6045,14281,,7244,15480,,1,158088
7962,16751,,7962,16751,,11826,20615,,1,158352
8058,16907,,8058,16907,,11607,20456,,1,158431
35600,44400,44600,35600,44400,44600,35600,44400,44600,1,158477
8128,16917,,8128,16917,,11819,20608,,1,158662
15692,25406,,15692,25406,,15692,25406,,1,158723
21044,29686,30358,21044,29686,30358,21044,29686,30358,1,158802
8222,17685,,8222,17685,,11412,20875,,1,158884
14101,23270,22720,14101,23270,22720,23269,32438,31888,1,159009
18542,23762,,18542,23762,,18542,23762,,1,159197
11347,20135,17013,11347,20135,17013,15992,24780,21658,1,159382
13001,28265,23227,13001,28265,23227,30918,46182,41144,1,159391
8022,16810,,8022,16810,,13314,22102,,1,159407
10432,19221,,10432,19221,,10432,19221,,1,159416
7977,16766,,7977,16766,,10658,19447,,1,159443
18948,27738,23390,18948,27738,23390,18948,27738,23390,1,159568
12801,19215,18927,12801,19215,18927,23940,30354,30066,1,159647
39898,51760,51760,39898,51760,51760,39898,51760,51760,1,159656
10529,19319,17759,10529,19319,17759,21431,30221,28661,1,159717
11456,21920,19825,11456,21920,19825,23946,34410,32315,1,159939
9846,16290,14200,9846,16290,14200,9846,16290,14200,1,159948
11365,20154,19180,11365,20154,19180,20856,29645,28671,1,159966
11144,19933,17250,11144,19933,17250,21716,30505,27822,1,159993
7252,20481,,7252,20481,,15364,28593,,1,160010
11033,19822,18436,11033,19822,18436,21153,29942,28556,1,160038
14776,23565,,14776,23565,,14776,23565,,1,160065
18485,29254,,18485,29254,,18485,29254,,1,160074
,,32125,,,32125,,,32125,1,160409
11083,16650,,11083,16650,,13979,19546,,1,160481
21566,29189,,21566,29189,,21566,29189,,1,160524
8069,16858,,8069,16858,,10687,19476,,1,160579
10539,19329,17149,10539,19329,17149,22558,31348,29168,1,160612
,,18882,,,18882,,,20526,1,160621
9677,18319,16191,9677,18319,16191,9677,18319,16191,1,160630
8704,13704,17714,8704,13704,17714,8704,13704,17714,1,160649
11018,21791,19035,11018,21791,19035,20568,31341,28585,1,160658
8092,16881,,8092,16881,,11404,20193,,1,160667
49166,52066,61178,49166,52066,61178,49166,52066,61178,1,160755
23701,32490,31501,23701,32490,31501,23701,32490,31501,1,160904
6735,15715,,6735,15715,,8360,17340,,1,160913
14430,21102,,14430,21102,,14430,21102,,1,160940
,,49890,,,49890,,,49890,1,160959
,,61000,,,61000,,,61000,1,160977
,,59900,,,59900,,,59900,1,161004
15526,24128,19547,15526,24128,19547,15526,24128,19547,1,161022
8530,15030,15136,8530,15030,15136,11170,17670,17776,1,161077
47360,52240,59110,47360,52240,59110,47360,52240,59110,1,161086
9392,15114,15114,9392,15114,15114,12032,17754,17754,1,161138
18680,28580,26286,18680,28580,26286,18680,28580,26286,1,161165
10104,17416,,10104,17416,,12744,20056,,1,161192
25143,34918,,25143,34918,,25143,34918,,1,161208
12300,19500,,12300,19500,,21540,28740,,1,161217
12751,21425,21425,12751,21425,21425,21839,30513,30513,1,161226
10575,18325,18795,10575,18325,18795,20535,28285,28755,1,161235
10790,18968,18968,10790,18968,18968,22670,30848,30848,1,161244
13800,23712,23712,13800,23712,23712,31170,41082,41082,1,161253
14550,24098,24098,14550,24098,24098,25370,34918,34918,1,161299
10700,15800,18276,10700,15800,18276,20660,25760,28236,1,161341
38195,47895,50295,38195,47895,50295,38195,47895,50295,1,161457
11098,18178,14934,11098,18178,14934,13738,20818,17574,1,161484
34340,44150,44740,34340,44150,44740,34340,44150,44740,1,161509
34890,42090,45790,34890,42090,45790,34890,42090,45790,1,161518
10396,17582,16264,10396,17582,16264,13036,20222,18904,1,161545
14274,24062,24062,14274,24062,24062,26634,36422,36422,1,161554
26170,32670,35494,26170,32670,35494,26170,32670,35494,1,161563
26980,31910,35864,26980,31910,35864,26980,31910,35864,1,161572
7218,11648,11448,7218,11648,11448,10598,15028,14828,1,161581
8506,17484,17484,11296,20274,20274,12496,21474,21474,1,161688
10253,20155,,12983,22885,,17393,27295,,1,161767
7574,14095,,7574,14095,,10492,17013,,1,161864
19888,27588,,19888,27588,,28338,36038,,1,161873
10771,23531,20107,10771,23531,20107,21338,34098,30674,1,162007
26496,34510,33460,26496,34510,33460,26496,34510,33460,1,162061
9010,15410,,11710,18110,,13060,19460,,1,162104
9000,18499,,11420,20919,,13103,22602,,1,162122
10513,14113,,12175,15775,,14023,17623,,1,162168
23320,25857,31220,23320,25857,31220,23320,25857,31220,1,162210
10738,17236,19091,10738,17236,19091,15672,22170,24025,1,162283
7171,15271,,10339,18439,,12403,20503,,1,162557
12634,18634,20046,12634,18634,20046,23282,29282,30694,1,162584
8160,16660,13670,11576,20076,17086,12668,21168,18178,1,162609
41602,46016,52908,41602,46016,52908,41602,46016,52908,1,162654
17131,23803,22019,17131,23803,22019,17131,23803,22019,1,162681
7236,17362,,8700,18826,,9948,20074,,1,162690
5201,12201,,7289,14289,,9377,16377,,1,162706
37480,48180,48830,37480,48180,48830,37480,48180,48830,1,162760
8584,20581,,10825,22822,,12040,24037,,1,162779
47670,56670,61502,47670,56670,61502,47670,56670,61502,1,162928
,,,,,,,,,1,162982
49440,53110,58578,49440,53110,58578,49440,53110,58578,1,163046
10917,28737,,10917,28737,,16701,34521,,1,163204
14804,27350,24762,14804,27350,24762,26378,38924,36336,1,163268
14116,26712,23734,14116,26712,23734,33302,45898,42920,1,163286
43840,51940,55100,43840,51940,55100,43840,51940,55100,1,163295
18264,22080,21454,18264,22080,21454,26770,30586,29960,1,163338
9522,22716,,13734,26928,,16794,29988,,1,163426
12863,24105,22269,12863,24105,22269,22277,33519,31683,1,163453
39844,45744,48858,39844,45744,48858,39844,45744,48858,1,163462
14250,26710,20850,14250,26710,20850,14250,26710,20850,1,163532
36750,51000,45650,36750,51000,45650,36750,51000,45650,1,163578
8330,15930,,10370,17970,,12650,20250,,1,163657
12128,22594,22368,12128,22594,22368,20474,30940,30714,1,163851
18264,29599,29599,18264,29599,29599,32064,43399,43399,1,163912
18930,27030,,18930,27030,,18930,27030,,1,163921
47676,58630,58630,47676,58630,58630,47676,58630,58630,1,163976
12454,23166,23166,12454,23166,23166,24132,34844,34844,1,164076
,,,,,,,,,1,164155
31426,40966,43556,31426,40966,43556,31426,40966,43556,1,164173
44870,49170,54312,44870,49170,54312,44870,49170,54312,1,164216
40160,42160,48300,40160,42160,48300,40160,42160,48300,1,164270
9292,17042,,12142,19892,,13348,21098,,1,164313
11635,15635,,11635,15635,,11635,15635,,1,164438
34110,38680,44900,34110,38680,44900,34110,38680,44900,1,164447
49374,61544,61544,49374,61544,61544,49374,61544,61544,1,164465
36134,42146,48146,36134,42146,48146,36134,42146,48146,1,164492
,,,,,,,,,1,164535
37775,48521,48521,37775,48521,48521,37775,48521,48521,1,164562
52802,60504,60504,52802,60504,60504,52802,60504,60504,1,164580
19977,31371,31371,19977,31371,31371,19977,31371,31371,1,164614
33259,36559,44559,33259,36559,44559,33259,36559,44559,1,164632
29122,39548,39548,29122,39548,39548,29122,39548,39548,1,164641
35460,44856,47160,35460,44856,47160,35460,44856,47160,1,164720
47580,56930,56930,47580,56930,56930,47580,56930,56930,1,164739
41322,58522,58522,41322,58522,58522,41322,58522,58522,1,164748
10225,20115,,10245,20135,,15861,25751,,1,164775
39710,48398,,39710,48398,,39710,48398,,1,164872
49622,56647,60706,49622,56647,60706,49622,56647,60706,1,164924
44591,56091,62471,44591,56091,62471,44591,56091,62471,1,164933
49680,61446,61446,49680,61446,61446,49680,61446,61446,1,164988
50206,61070,61070,50206,61070,61070,50206,61070,61070,1,165015
13053,23453,22753,13053,23453,22753,19193,29593,28893,1,165024
8128,11178,,8128,11178,,13072,16122,,1,165033
,,,,,,,,,1,165060
9184,15784,,9184,15784,,14128,20728,,1,165112
17592,25592,,17592,25592,,17592,25592,,1,165167
12244,16144,,12244,16144,,17188,21088,,1,165194
36033,48033,,36033,48033,,36033,48033,,1,165264
41400,48870,48770,41400,48870,48770,41400,48870,48770,1,165334
38715,47109,50845,38715,47109,50845,38715,47109,50845,1,165529
35930,45705,49990,35930,45705,49990,35930,45705,49990,1,165574
,,,,,,,,,1,165608
30322,40222,38522,30322,40222,38522,30322,40222,38522,1,165644
39038,53438,53554,39038,53438,53554,39038,53438,53554,1,165662
38678,51363,51363,38678,51363,51363,38678,51363,51363,1,165671
32072,42142,45536,32072,42142,45536,32072,42142,45536,1,165699
32485,42485,46840,32485,42485,46840,32485,42485,46840,1,165802
12385,18065,20690,12385,18065,20690,18465,24145,26770,1,165820
16040,22804,22804,16040,22804,22804,22120,28884,28884,1,165866
20065,26865,36965,20065,26865,36965,20065,26865,36965,1,165884
36230,45660,44860,36230,45660,44860,36230,45660,44860,1,165936
13054,17229,,13054,17229,,19174,23349,,1,165981
48125,59245,60155,48125,59245,60155,48125,59245,60155,1,166018
,,59950,,,59950,,,59950,1,166027
26220,42820,38080,26220,42820,38080,26220,42820,38080,1,166054
46672,53872,57832,46672,53872,57832,46672,53872,57832,1,166124
8324,16594,,8324,16594,,13268,21538,,1,166133
34500,41500,46000,34500,41500,46000,34500,41500,46000,1,166391
31881,45981,,31881,45981,,31881,45981,,1,166407
37790,41725,49765,37790,41725,49765,37790,41725,49765,1,166452
36978,46878,,36978,46878,,36978,46878,,1,166489
16679,19079,24961,16679,19079,24961,30728,33128,39010,1,166513
24485,32140,,24485,32140,,24485,32140,,1,166601
17843,26282,26282,17843,26282,26282,32559,40998,40998,1,166629
15106,24156,,15106,24156,,30570,39620,,1,166638
13614,19480,,13614,19480,,18558,24424,,1,166647
35015,46179,46179,35015,46179,46179,35015,46179,46179,1,166656
17900,26500,26500,17900,26500,26500,36100,44700,44700,1,166674
46276,,59020,46276,,59020,46276,,59020,1,166683
9927,17427,22073,9927,17427,22073,24833,32333,36979,1,166692
11806,17206,,11806,17206,,16750,22150,,1,166823
37535,49685,49685,37535,49685,49685,37535,49685,49685,1,166850
7324,16589,,7324,16589,,12258,21523,,1,166887
31870,41170,39670,31870,41170,39670,31870,41170,39670,1,166911
45756,54296,55496,45756,54296,55496,45756,54296,55496,1,166939
32645,41045,44945,32645,41045,44945,32645,41045,44945,1,166948
9800,17200,,9800,17200,,14720,22120,,1,166957
48318,53863,56253,48318,53863,56253,48318,53863,56253,1,166984
43275,55870,55870,43275,55870,55870,43275,55870,55870,1,167057
34900,48980,,34900,48980,,34900,48980,,1,167224
35440,43440,44550,35440,43440,44550,35440,43440,44550,1,167251
38570,42440,46690,38570,42440,46690,38570,42440,46690,1,167260
12541,21363,21363,12541,21363,21363,21486,30308,30308,1,167288
7956,19956,,7956,19956,,13524,25524,,1,167312
28444,31948,40444,28444,31948,40444,28444,31948,40444,1,167321
44486,58096,58096,44486,58096,58096,44486,58096,58096,1,167358
8954,18350,,8954,18350,,14738,24134,,1,167376
34182,43497,44612,34182,43497,44612,34182,43497,44612,1,167394
29330,38230,40870,29330,38230,40870,29330,38230,40870,1,167455
11382,23382,,11382,23382,,11382,23382,,1,167525
8550,16956,,8550,16956,,13494,21900,,1,167534
40045,51630,50630,40045,51630,50630,40045,51630,50630,1,167598
5362,12162,,5362,12162,,10666,17466,,1,167631
20450,28700,28700,20450,28700,28700,20450,28700,28700,1,167677
13584,22372,22084,13584,22372,22084,19724,28512,28224,1,167729
40570,52610,52610,40570,52610,52610,40570,52610,52610,1,167783
48713,61403,61403,48713,61403,61403,48713,61403,61403,1,167792
50432,,60167,50432,,60167,50432,,60167,1,167835
,,,,,,,,,1,167871
35560,46480,46480,35560,46480,46480,35560,46480,46480,1,167899
10050,21120,,10050,21120,,16560,27630,,1,167905
16447,24947,25355,16447,24947,25355,28922,37422,37830,1,167987
40878,46698,52370,40878,46698,52370,40878,46698,52370,1,167996
37785,50196,49979,37785,50196,49979,37785,50196,49979,1,168005
48818,53600,61000,48818,53600,61000,48818,53600,61000,1,168148
47404,47404,59092,47404,47404,59092,47404,47404,59092,1,168218
39690,49776,46750,39690,49776,46750,39690,49776,46750,1,168227
37790,47290,48890,37790,47290,48890,37790,47290,48890,1,168254
12456,21296,21296,12456,21296,21296,18536,27376,27376,1,168263
48574,58574,58574,48574,58574,58574,48574,58574,58574,1,168281
35660,47870,47870,35660,47870,47870,35660,47870,47870,1,168290
,,61850,,,61850,,,61850,1,168342
46478,57628,58060,46478,57628,58060,46478,57628,58060,1,168421
12341,17741,22718,12341,17741,22718,18421,23821,28798,1,168430
33380,38330,42740,33380,38330,42740,33380,38330,42740,1,168528
38051,48195,48195,38051,48195,48195,38051,48195,48195,1,168546
35022,44287,44287,35022,44287,44287,35022,44287,44287,1,168591
6270,11770,,8190,13690,,8190,13690,,1,168607
27570,37884,35538,27570,37884,35538,27570,37884,35538,1,168740
30480,36138,38012,30480,36138,38012,30480,36138,38012,1,168786
14700,21900,20100,14700,21900,20100,14700,21900,20100,1,168838
14700,21900,20100,14700,21900,20100,14700,21900,20100,1,168847
10770,16300,16300,13653,19183,19183,17745,23275,23275,1,168883
32640,41195,41195,32640,41195,41195,32640,41195,41195,1,169080
14550,22522,,14550,22522,,14550,22522,,1,169187
13960,20460,22004,13960,20460,22004,26410,32910,34454,1,169248
7791,17268,,9080,18557,,10810,20287,,1,169275
21048,28716,,21048,28716,,21048,28716,,1,169327
27063,,35693,27063,,35693,27063,,35693,1,169363
42010,50110,50110,42010,50110,50110,42010,50110,50110,1,169442
19960,28652,26872,19960,28652,26872,19960,28652,26872,1,169479
7424,11504,,9029,13109,,13019,17099,,1,169521
17618,25493,,17618,25493,,17618,25493,,1,169655
43730,54702,52400,43730,54702,52400,43730,54702,52400,1,169716
21024,32382,,21024,32382,,21024,32382,,1,169734
21024,32382,,21024,32382,,21024,32382,,1,169761
13522,20162,20756,13522,20162,20756,29067,35707,36301,1,169798
13744,21878,21878,13744,21878,21878,20000,28134,28134,1,169910
,,,,,,,,,1,169947
8196,13666,,9588,15058,,10356,15826,,1,169974
43414,51277,51277,43414,51277,51277,43414,51277,51277,1,169983
8614,15590,14418,9792,16768,15596,10753,17729,16557,1,169992
15437,21872,21949,15437,21872,21949,15437,21872,21949,1,170000
28012,35922,35922,28012,35922,35922,28012,35922,35922,1,170037
6260,10388,,9104,13232,,11672,15800,,1,170055
16566,22432,22432,16566,22432,22432,21238,27104,27104,1,170082
19500,30550,25705,19500,30550,25705,19500,30550,25705,1,170091
5436,13815,,6876,15255,,6996,15375,,1,170240
31660,34330,40050,31660,34330,40050,31660,34330,40050,1,170301
22431,29926,,22431,29926,,22431,29926,,1,170417
8060,15244,15244,9260,16444,16444,10580,17764,17764,1,170444
,,50800,,,50800,,,50800,1,170532
5920,10048,,7873,12001,,9516,13644,,1,170541
7545,13015,,9292,14762,,11253,16723,,1,170550
9587,16345,,10727,17485,,13337,20095,,1,170587
8580,14430,,10005,15855,,11355,17205,,1,170620
13060,20303,21788,13060,20303,21788,17980,25223,26708,1,170639
10480,17580,,12970,20070,,15460,22560,,1,170657
34379,43061,43061,34379,43061,43061,34379,43061,43061,1,170675
11191,12621,,12648,14078,,13888,15318,,1,170790
20504,28704,27944,20504,28704,27944,20504,28704,27944,1,170806
23450,31450,30730,23450,31450,30730,23450,31450,30730,1,170842
23082,27210,28890,23082,27210,28890,23082,27210,28890,1,170967
18384,26240,26240,18384,26240,26240,45634,53490,53490,1,170976
15792,24648,24648,15792,24648,24648,36680,45536,45536,1,171100
17200,26375,26375,17200,26375,26375,32080,41255,41255,1,171128
15260,23100,,15260,23100,,27770,35610,,1,171137
14319,23026,23026,14319,23026,23026,23201,31908,31908,1,171146
7403,13113,,9659,15369,,13523,19233,,1,171155
6313,13468,,8293,15448,,8833,15988,,1,171225
6567,19219,,8967,21619,,11457,24109,,1,171234
14700,21900,20100,14700,21900,20100,14700,21900,20100,1,171298
6425,10925,,8540,13040,,10340,14840,,1,171304
6783,12983,12583,8486,14686,14286,9738,15938,15538,1,171395
11577,20273,20273,11577,20273,20273,16653,25349,25349,1,171456
7224,17524,16274,9593,19893,18643,10936,21236,19986,1,171483
26816,35818,35028,26816,35818,35028,26816,35818,35028,1,171492
5797,12497,,7678,14378,,9361,16061,,1,171535
15841,22887,21751,15841,22887,21751,29101,36147,35011,1,171571
26781,34181,34181,26781,34181,34181,26781,34181,34181,1,171599
23367,27483,27970,23367,27483,27970,23367,27483,27970,1,171881
20553,32487,31767,20553,32487,31767,20553,32487,31767,1,172033
12809,21255,19181,12809,21255,19181,24162,32608,30534,1,172051
7928,14593,,9158,15823,,11078,17743,,1,172200
24404,34014,34014,24404,34014,34014,24404,34014,34014,1,172264
6672,12382,,9493,15203,,12128,17838,,1,172291
8261,16101,16101,9253,17093,17093,9640,17480,17480,1,172307
25876,34046,34046,25876,34046,34046,25876,34046,34046,1,172334
21496,39001,22458,21496,39001,22458,29896,47401,30858,1,172422
25580,33880,32220,25580,33880,32220,25580,33880,32220,1,172440
6862,13718,,8182,15038,,9310,16166,,1,172617
7232,11824,,7496,12088,,8216,12808,,1,172635
17091,26408,23586,17091,26408,23586,29711,39028,36206,1,172644
6117,11517,,7773,13173,,8973,14373,,1,172671
15137,22145,22250,15137,22145,22250,28891,35899,36004,1,172699
22965,30165,,22965,30165,,22965,30165,,1,172866
13685,18885,,13685,18885,,13685,18885,,1,172918
12190,22546,,12190,22546,,12190,22546,,1,172954
13719,20523,,13719,20523,,13719,20523,,1,172963
38479,47093,45465,38479,47093,45465,38479,47093,45465,1,173045
10422,16197,,10422,16197,,10422,16197,,1,173063
9382,16638,,9382,16638,,9382,16638,,1,173115
11686,18940,18940,11686,18940,18940,11686,18940,18940,1,173124
26880,34150,34150,26880,34150,34150,26880,34150,34150,1,173142
36990,44590,44300,36990,44590,44300,36990,44590,44300,1,173160
10493,16393,,10493,16393,,10493,16393,,1,173203
,,60425,,,60425,,,60425,1,173258
35804,43394,42964,35804,43394,42964,35804,43394,42964,1,173300
23100,30850,30850,23100,30850,30850,23100,30850,30850,1,173328
12305,19775,,12305,19775,,12305,19775,,1,173416
16700,21560,21560,16700,21560,21560,16700,21560,21560,1,173452
12788,18511,,12788,18511,,17205,22928,,1,173461
21653,33065,,21653,33065,,21653,33065,,1,173489
10098,16822,14898,10098,16822,14898,10098,16822,14898,1,173559
22302,27450,,22302,27450,,22302,27450,,1,173629
11768,16216,16216,11768,16216,16216,16915,21363,21363,1,173638
41060,50110,50110,41060,50110,50110,41060,50110,50110,1,173647
37308,46398,46398,37308,46398,46398,37308,46398,46398,1,173665
10998,22456,,10998,22456,,10998,22456,,1,173708
10018,16093,16093,10018,16093,16093,11200,17275,17275,1,173735
12804,19788,,12804,19788,,12804,19788,,1,173799
9867,18037,15633,9867,18037,15633,11049,19219,16815,1,173805
27100,30604,33613,27100,30604,33613,27100,30604,33613,1,173887
